Matchday,Date,Home,Away,FullTime
W Cup and Oce Cup q and S Pac G,2007-08-25,New Caledonia,Tahiti,1-0
W Cup and Oce Cup q and S Pac G,2007-08-25,Samoa,Vanuatu,0-4
W Cup and Oce Cup q and S Pac G,2007-08-25,Solomon Islands,Eastern Samoa,12-1
W Cup and Oce Cup q and S Pac G,2007-08-27,Fiji,Cook Islands,4-0
W Cup and Oce Cup q and S Pac G,2007-08-27,Solomon Islands,Tonga,4-0
W Cup and Oce Cup q and S Pac G,2007-08-27,Samoa,Eastern Samoa,7-0
W Cup and Oce Cup q and S Pac G,2007-08-29,New Caledonia,Cook Islands,3-0
W Cup and Oce Cup q and S Pac G,2007-08-29,Vanuatu,Eastern Samoa,15-0
W Cup and Oce Cup q and S Pac G,2007-08-29,Samoa,Tonga,2-1
W Cup and Oce Cup q and S Pac G,2007-09-01,Solomon Islands,Vanuatu,2-0
W Cup and Oce Cup q and S Pac G,2007-09-01,Fiji,Tahiti,4-0
W Cup and Oce Cup q and S Pac G,2007-09-01,Tonga,Eastern Samoa,4-0
W Cup and Oce Cup q and S Pac G,2007-09-03,Fiji,New Caledonia,1-1
W Cup and Oce Cup q and S Pac G,2007-09-03,Vanuatu,Tonga,4-1
W Cup and Oce Cup q and S Pac G,2007-09-03,Tahiti,Cook Islands,1-0
W Cup and Oce Cup q and S Pac G,2007-09-03,Samoa,Solomon Islands,0-3
W Cup and Oce Cup q and S Pac G,2007-09-05,New Caledonia,Solomon Islands,3-2
W Cup and Oce Cup q and S Pac G,2007-09-05,Fiji,Vanuatu,3-0
W Cup and Oce Cup q and S Pac G,2007-09-07,Vanuatu,Solomon Islands,2-0
