Matchday,Date,Home,Away,FullTime
Copa America,1975-07-17,Chile,Peru,1-1
Copa America,1975-07-20,Bolivia,Chile,2-1
Copa America,1975-07-20,Colombia,Paraguay,1-0
Copa America,1975-07-24,Ecuador,Paraguay,2-2
Copa America,1975-07-27,Bolivia,Peru,0-1
Copa America,1975-07-27,Ecuador,Colombia,1-3
Copa America,1975-07-30,Venezuela,Brazil,0-4
Copa America,1975-07-30,Paraguay,Colombia,0-1
Copa America,1975-08-03,Venezuela,Argentina,1-5
Copa America,1975-08-06,Brazil,Argentina,2-1
Copa America,1975-08-07,Peru,Bolivia,3-1
Copa America,1975-08-07,Colombia,Ecuador,2-0
Copa America,1975-08-10,Argentina,Venezuela,11-0
Copa America,1975-08-10,Paraguay,Ecuador,3-1
Copa America,1975-08-13,Chile,Bolivia,4-0
Copa America,1975-08-13,Brazil,Venezuela,6-0
Copa America,1975-08-16,Argentina,Brazil,0-1
Copa America,1975-08-20,Peru,Chile,3-1
Copa America,1975-09-21,Colombia,Uruguay,3-0
Copa America,1975-09-30,Brazil,Peru,1-3
Copa America,1975-10-01,Uruguay,Colombia,1-0
Copa America,1975-10-04,Peru,Brazil,0-2
Copa America,1975-10-16,Colombia,Peru,1-0
Copa America,1975-10-22,Peru,Colombia,2-0
Copa America,1975-10-28,Peru,Colombia,1-0
Copa America,1979-07-18,Bolivia,Argentina,2-1
Copa America,1979-07-26,Bolivia,Brazil,2-1
Copa America,1979-08-01,Venezuela,Colombia,0-0
Copa America,1979-08-02,Brazil,Argentina,2-1
Copa America,1979-08-08,Argentina,Bolivia,3-0
Copa America,1979-08-08,Venezuela,Chile,1-1
Copa America,1979-08-15,Colombia,Chile,1-0
Copa America,1979-08-16,Brazil,Bolivia,2-0
Copa America,1979-08-22,Colombia,Venezuela,4-0
Copa America,1979-08-23,Argentina,Brazil,2-2
Copa America,1979-08-29,Chile,Venezuela,7-0
Copa America,1979-08-29,Ecuador,Paraguay,1-2
Copa America,1979-09-05,Ecuador,Uruguay,2-1
Copa America,1979-09-05,Chile,Colombia,2-0
Copa America,1979-09-13,Paraguay,Ecuador,2-0
Copa America,1979-09-16,Uruguay,Ecuador,2-1
Copa America,1979-09-20,Paraguay,Uruguay,0-0
Copa America,1979-09-26,Uruguay,Paraguay,2-2
Copa America,1979-10-17,Peru,Chile,1-2
Copa America,1979-10-24,Chile,Peru,0-0
Copa America,1979-10-24,Paraguay,Brazil,2-1
Copa America,1979-10-31,Brazil,Paraguay,2-2
Copa America,1979-11-28,Paraguay,Chile,3-0
Copa America,1979-12-05,Chile,Paraguay,1-0
Copa America,1979-12-11,Chile,Paraguay,0-0
Copa America,1983-08-10,Ecuador,Argentina,2-2
Copa America,1983-08-14,Bolivia,Colombia,0-1
Copa America,1983-08-17,Ecuador,Brazil,0-1
Copa America,1983-08-17,Peru,Colombia,1-0
Copa America,1983-08-21,Bolivia,Peru,1-1
Copa America,1983-08-24,Argentina,Brazil,1-0
Copa America,1983-08-28,Colombia,Peru,2-2
Copa America,1983-08-31,Colombia,Bolivia,2-2
Copa America,1983-09-01,Uruguay,Chile,2-1
Copa America,1983-09-01,Brazil,Ecuador,5-0
Copa America,1983-09-04,Uruguay,Venezuela,3-0
Copa America,1983-09-04,Peru,Bolivia,2-1
Copa America,1983-09-07,Argentina,Ecuador,2-2
Copa America,1983-09-08,Chile,Venezuela,5-0
Copa America,1983-09-11,Chile,Uruguay,2-0
Copa America,1983-09-14,Brazil,Argentina,0-0
Copa America,1983-09-18,Venezuela,Uruguay,1-2
Copa America,1983-09-21,Venezuela,Chile,0-0
Copa America,1983-10-13,Peru,Uruguay,0-1
Copa America,1983-10-13,Paraguay,Brazil,1-1
Copa America,1983-10-20,Uruguay,Peru,1-1
Copa America,1983-10-20,Brazil,Paraguay,0-0
Copa America,1983-10-27,Uruguay,Brazil,2-0
Copa America,1983-11-04,Brazil,Uruguay,1-1
Copa America,1987-06-27,Argentina,Peru,1-1
Copa America,1987-06-28,Brazil,Venezuela,5-0
Copa America,1987-06-28,Bolivia,Paraguay,0-0
Copa America,1987-06-30,Chile,Venezuela,3-1
Copa America,1987-07-01,Colombia,Bolivia,2-0
Copa America,1987-07-02,Argentina,Ecuador,3-0
Copa America,1987-07-03,Chile,Brazil,4-0
Copa America,1987-07-04,Ecuador,Peru,1-1
Copa America,1987-07-05,Colombia,Paraguay,3-0
Copa America,1987-07-08,Chile,Colombia,2-1
Copa America,1987-07-09,Argentina,Uruguay,0-1
Copa America,1987-07-11,Argentina,Colombia,1-2
Copa America,1987-07-12,Uruguay,Chile,1-0
Copa America,1989-07-01,Brazil,Venezuela,3-1
Copa America,1989-07-01,Paraguay,Peru,5-2
Copa America,1989-07-02,Ecuador,Uruguay,1-0
Copa America,1989-07-02,Argentina,Chile,1-0
Copa America,1989-07-03,Brazil,Peru,0-0
Copa America,1989-07-03,Colombia,Venezuela,4-2
Copa America,1989-07-04,Uruguay,Bolivia,3-0
Copa America,1989-07-04,Argentina,Ecuador,0-0
Copa America,1989-07-05,Paraguay,Colombia,1-0
Copa America,1989-07-05,Peru,Venezuela,1-1
Copa America,1989-07-06,Uruguay,Chile,3-0
Copa America,1989-07-06,Bolivia,Ecuador,0-0
Copa America,1989-07-07,Brazil,Colombia,0-0
Copa America,1989-07-07,Paraguay,Venezuela,3-0
Copa America,1989-07-08,Argentina,Uruguay,1-0
Copa America,1989-07-08,Chile,Bolivia,5-0
Copa America,1989-07-09,Brazil,Paraguay,2-0
Copa America,1989-07-09,Colombia,Peru,1-1
Copa America,1989-07-10,Argentina,Bolivia,0-0
Copa America,1989-07-10,Chile,Ecuador,2-1
Copa America,1989-07-12,Uruguay,Paraguay,3-0
Copa America,1989-07-12,Brazil,Argentina,2-0
Copa America,1989-07-14,Uruguay,Argentina,2-0
Copa America,1989-07-14,Brazil,Paraguay,3-0
Copa America,1989-07-16,Brazil,Uruguay,1-0
Copa America,1989-07-16,Argentina,Paraguay,0-0
Copa America,1991-07-06,Chile,Venezuela,2-0
Copa America,1991-07-06,Paraguay,Peru,1-0
Copa America,1991-07-07,Bolivia,Uruguay,1-1
Copa America,1991-07-07,Colombia,Ecuador,1-0
Copa America,1991-07-08,Argentina,Venezuela,3-0
Copa America,1991-07-08,Chile,Peru,4-2
Copa America,1991-07-09,Ecuador,Uruguay,1-1
