Matchday,Date,Home,Away,FullTime
CONCACAF Championship,1963-03-23,El Salvador,Nicaragua,6-1
CONCACAF Championship,1963-03-23,Guatemala,Panama,2-2
CONCACAF Championship,1963-03-24,Costa Rica,Jamaica,6-0
CONCACAF Championship,1963-03-24,Netherlands Antilles,Mexico,2-1
CONCACAF Championship,1963-03-25,El Salvador,Panama,1-1
CONCACAF Championship,1963-03-25,Honduras,Nicaragua,1-0
CONCACAF Championship,1963-03-27,El Salvador,Honduras,2-2
CONCACAF Championship,1963-03-27,Guatemala,Nicaragua,3-1
CONCACAF Championship,1963-03-28,Costa Rica,Netherlands Antilles,1-0
CONCACAF Championship,1963-03-28,Mexico,Jamaica,8-0
CONCACAF Championship,1963-03-29,Honduras,Guatemala,2-1
CONCACAF Championship,1963-03-29,Panama,Nicaragua,5-0
CONCACAF Championship,1963-03-30,Costa Rica,Mexico,0-0
CONCACAF Championship,1963-03-30,Netherlands Antilles,Jamaica,2-1
CONCACAF Championship,1963-03-31,El Salvador,Guatemala,1-1
CONCACAF Championship,1963-03-31,Honduras,Panama,1-0
CONCACAF Championship,1963-04-03,El Salvador,Costa Rica,1-4
CONCACAF Championship,1963-04-03,Netherlands Antilles,Honduras,4-1
CONCACAF Championship,1963-04-05,Costa Rica,Netherlands Antilles,1-0
CONCACAF Championship,1963-04-05,El Salvador,Honduras,3-0
CONCACAF Championship,1963-04-07,Costa Rica,Honduras,2-1
CONCACAF Championship,1963-04-07,El Salvador,Netherlands Antilles,3-2
CONCACAF Championship,1965-03-28,Costa Rica,Netherlands Antilles,6-0
CONCACAF Championship,1965-03-28,Mexico,El Salvador,2-0
CONCACAF Championship,1965-03-28,Guatemala,Haiti,3-0
CONCACAF Championship,1965-03-30,Costa Rica,Haiti,3-1
CONCACAF Championship,1965-03-30,El Salvador,Netherlands Antilles,1-1
CONCACAF Championship,1965-04-01,Guatemala,Costa Rica,0-0
CONCACAF Championship,1965-04-01,Mexico,Netherlands Antilles,5-0
CONCACAF Championship,1965-04-04,Guatemala,El Salvador,4-1
CONCACAF Championship,1965-04-04,Mexico,Haiti,3-0
CONCACAF Championship,1965-04-06,Costa Rica,Mexico,1-1
CONCACAF Championship,1965-04-06,Guatemala,Netherlands Antilles,3-2
CONCACAF Championship,1965-04-08,El Salvador,Costa Rica,2-1
CONCACAF Championship,1965-04-08,Haiti,Netherlands Antilles,1-1
CONCACAF Championship,1965-04-11,El Salvador,Haiti,3-1
CONCACAF Championship,1965-04-11,Guatemala,Mexico,1-2
CONCACAF Championship,1967-03-05,Honduras,Trinidad and Tobago,1-0
CONCACAF Championship,1967-03-06,Guatemala,Haiti,2-1
CONCACAF Championship,1967-03-06,Mexico,Nicaragua,4-0
CONCACAF Championship,1967-03-08,Trinidad and Tobago,Haiti,3-2
CONCACAF Championship,1967-03-08,Honduras,Nicaragua,1-1
CONCACAF Championship,1967-03-10,Guatemala,Mexico,1-0
CONCACAF Championship,1967-03-10,Haiti,Nicaragua,2-1
CONCACAF Championship,1967-03-12,Honduras,Guatemala,0-0
CONCACAF Championship,1967-03-12,Mexico,Trinidad and Tobago,4-0
CONCACAF Championship,1967-03-14,Guatemala,Trinidad and Tobago,2-0
CONCACAF Championship,1967-03-14,Mexico,Haiti,1-0
CONCACAF Championship,1967-03-16,Honduras,Haiti,2-0
CONCACAF Championship,1967-03-16,Trinidad and Tobago,Nicaragua,3-1
CONCACAF Championship,1967-03-19,Guatemala,Nicaragua,2-0
CONCACAF Championship,1967-03-19,Honduras,Mexico,0-1
CONCACAF Championship,1969-11-23,Costa Rica,Jamaica,3-0
CONCACAF Championship,1969-11-27,Costa Rica,Netherlands Antilles,2-1
CONCACAF Championship,1969-11-27,Guatemala,Trinidad and Tobago,2-0
CONCACAF Championship,1969-11-27,Mexico,Jamaica,2-0
CONCACAF Championship,1969-11-29,Guatemala,Netherlands Antilles,6-1
CONCACAF Championship,1969-11-30,Costa Rica,Mexico,2-0
CONCACAF Championship,1969-11-30,Trinidad and Tobago,Jamaica,3-2
CONCACAF Championship,1969-12-02,Guatemala,Mexico,1-0
CONCACAF Championship,1969-12-02,Netherlands Antilles,Trinidad and Tobago,3-1
CONCACAF Championship,1969-12-04,Costa Rica,Trinidad and Tobago,5-0
CONCACAF Championship,1969-12-04,Guatemala,Jamaica,0-0
CONCACAF Championship,1969-12-04,Mexico,Netherlands Antilles,2-2
CONCACAF Championship,1969-12-06,Netherlands Antilles,Jamaica,2-1
CONCACAF Championship,1969-12-07,Costa Rica,Guatemala,1-1
CONCACAF Championship,1969-12-07,Mexico,Trinidad and Tobago,0-0
CONCACAF Championship,1971-11-20,Costa Rica,Cuba,3-0
CONCACAF Championship,1971-11-21,Haiti,Mexico,0-0
CONCACAF Championship,1971-11-21,Trinidad and Tobago,Honduras,1-1
CONCACAF Championship,1971-11-23,Cuba,Honduras,3-1
CONCACAF Championship,1971-11-24,Costa Rica,Haiti,0-0
CONCACAF Championship,1971-11-26,Trinidad and Tobago,Mexico,0-2
CONCACAF Championship,1971-11-28,Costa Rica,Honduras,2-1
CONCACAF Championship,1971-11-28,Mexico,Cuba,1-0
CONCACAF Championship,1971-11-28,Trinidad and Tobago,Haiti,1-6
CONCACAF Championship,1971-11-30,Trinidad and Tobago,Cuba,2-2
CONCACAF Championship,1971-12-01,Haiti,Honduras,3-1
CONCACAF Championship,1971-12-02,Mexico,Costa Rica,1-0
CONCACAF Championship,1971-12-04,Mexico,Honduras,2-1
CONCACAF Championship,1971-12-04,Cuba,Haiti,0-0
CONCACAF Championship,1971-12-05,Trinidad and Tobago,Costa Rica,3-1
CONCACAF Championship,1991-06-28,Honduras,Canada,4-2
CONCACAF Championship,1991-06-28,Mexico,Jamaica,4-1
CONCACAF Championship,1991-06-29,United States,Trinidad and Tobago,2-1
CONCACAF Championship,1991-06-29,Costa Rica,Guatemala,2-0
CONCACAF Championship,1991-06-30,Mexico,Canada,3-1
CONCACAF Championship,1991-06-30,Honduras,Jamaica,5-0
CONCACAF Championship,1991-07-01,United States,Guatemala,3-0
CONCACAF Championship,1991-07-01,Trinidad and Tobago,Costa Rica,2-1
CONCACAF Championship,1991-07-03,United States,Costa Rica,3-2
CONCACAF Championship,1991-07-03,Canada,Jamaica,3-2
CONCACAF Championship,1991-07-03,Guatemala,Trinidad and Tobago,1-0
CONCACAF Championship,1991-07-03,Honduras,Mexico,1-1
CONCACAF Championship,1991-07-05,United States,Mexico,2-0
CONCACAF Championship,1991-07-05,Honduras,Costa Rica,2-0
CONCACAF Championship,1991-07-07,United States,Honduras,0-0
CONCACAF Championship,1991-07-07,Mexico,Costa Rica,2-0
CONCACAF Championship,1993-07-10,United States,Jamaica,1-0
CONCACAF Championship,1993-07-10,Honduras,Panama,5-1
CONCACAF Championship,1993-07-11,Canada,Costa Rica,1-1
CONCACAF Championship,1993-07-11,Mexico,Martinique,9-0
CONCACAF Championship,1993-07-14,United States,Panama,2-1
CONCACAF Championship,1993-07-14,Jamaica,Honduras,3-1
CONCACAF Championship,1993-07-15,Canada,Martinique,2-2
CONCACAF Championship,1993-07-15,Mexico,Costa Rica,1-1
CONCACAF Championship,1993-07-17,United States,Honduras,1-0
CONCACAF Championship,1993-07-17,Jamaica,Panama,1-1
CONCACAF Championship,1993-07-18,Mexico,Canada,8-0
CONCACAF Championship,1993-07-18,Costa Rica,Martinique,3-1
CONCACAF Championship,1993-07-21,United States,Costa Rica,1-0
CONCACAF Championship,1993-07-22,Mexico,Jamaica,6-1
CONCACAF Championship,1993-07-25,Mexico,United States,4-0
CONCACAF Championship,1993-07-25,Costa Rica,Jamaica,1-1
CONCACAF Championship,1996-01-10,Canada,Honduras,3-1
CONCACAF Championship,1996-01-10,El Salvador,Trinidad and Tobago,3-2
CONCACAF Championship,1996-01-11,Mexico,St Vincent & Grenadines,5-0
CONCACAF Championship,1996-01-12,Brazil,Canada,4-1
CONCACAF Championship,1996-01-13,United States,Trinidad and Tobago,3-2
CONCACAF Championship,1996-01-14,Mexico,Guatemala,1-0
CONCACAF Championship,1996-01-14,Brazil,Honduras,5-0
CONCACAF Championship,1996-01-16,United States,El Salvador,2-0
CONCACAF Championship,1996-01-16,Guatemala,St Vincent & Grenadines,3-0
CONCACAF Championship,1996-01-18,United States,Brazil,0-1
CONCACAF Championship,1996-01-19,Mexico,Guatemala,1-0
CONCACAF Championship,1996-01-21,United States,Guatemala,3-0
CONCACAF Championship,1996-01-21,Mexico,Brazil,2-0
CONCACAF Championship,1998-02-01,United States,Cuba,3-0
CONCACAF Championship,1998-02-01,El Salvador,Guatemala,0-0
CONCACAF Championship,1998-02-01,Trinidad and Tobago,Honduras,3-1
CONCACAF Championship,1998-02-03,Brazil,Jamaica,0-0
CONCACAF Championship,1998-02-04,Costa Rica,Cuba,7-2
CONCACAF Championship,1998-02-04,Mexico,Trinidad and Tobago,4-2
CONCACAF Championship,1998-02-05,Brazil,Guatemala,1-1
CONCACAF Championship,1998-02-07,United States,Costa Rica,2-1
CONCACAF Championship,1998-02-07,Mexico,Honduras,2-0
CONCACAF Championship,1998-02-08,Brazil,El Salvador,4-0
CONCACAF Championship,1998-02-08,Jamaica,Guatemala,3-2
CONCACAF Championship,1998-02-09,Jamaica,El Salvador,2-0
CONCACAF Championship,1998-02-10,United States,Brazil,1-0
CONCACAF Championship,1998-02-12,Mexico,Jamaica,1-0
CONCACAF Championship,1998-02-15,United States,Mexico,0-1
CONCACAF Championship,1998-02-15,Brazil,Jamaica,1-0
CONCACAF Championship,2000-02-12,United States,Haiti,3-0
CONCACAF Championship,2000-02-12,Colombia,Jamaica,1-0
CONCACAF Championship,2000-02-13,Canada,Costa Rica,2-2
CONCACAF Championship,2000-02-13,Mexico,Trinidad and Tobago,4-0
CONCACAF Championship,2000-02-14,Haiti,Peru,1-1
CONCACAF Championship,2000-02-14,Honduras,Jamaica,2-0
CONCACAF Championship,2000-02-15,Canada,South Korea,0-0
CONCACAF Championship,2000-02-15,Trinidad and Tobago,Guatemala,4-2
CONCACAF Championship,2000-02-16,United States,Peru,1-0
CONCACAF Championship,2000-02-16,Honduras,Colombia,2-0
CONCACAF Championship,2000-02-17,Costa Rica,South Korea,2-2
CONCACAF Championship,2000-02-17,Guatemala,Mexico,1-1
CONCACAF Championship,2000-02-19,United States,Colombia,2-2
CONCACAF Championship,2000-02-19,Peru,Honduras,5-3
CONCACAF Championship,2000-02-20,Canada,Mexico,2-1
CONCACAF Championship,2000-02-20,Trinidad and Tobago,Costa Rica,2-1
CONCACAF Championship,2000-02-23,Colombia,Peru,2-1
CONCACAF Championship,2000-02-24,Canada,Trinidad and Tobago,1-0
CONCACAF Championship,2000-02-27,Canada,Colombia,2-0
CONCACAF Championship,2002-01-18,Canada,Haiti,2-0
CONCACAF Championship,2002-01-18,Costa Rica,Martinique,2-0
CONCACAF Championship,2002-01-19,United States,South Korea,2-1
CONCACAF Championship,2002-01-19,Mexico,El Salvador,1-0
CONCACAF Championship,2002-01-20,Costa Rica,Trinidad and Tobago,1-1
CONCACAF Championship,2002-01-20,Haiti,Ecuador,2-0
CONCACAF Championship,2002-01-21,United States,Cuba,1-0
