Matchday,Date,Home,Away,FullTime
C Am & Caribbean Games,1938-02-10,Mexico,Colombia,3-1
C Am & Caribbean Games,1938-02-12,Costa Rica,El Salvador,7-0
C Am & Caribbean Games,1938-02-12,Panama,Venezuela,2-1
C Am & Caribbean Games,1938-02-14,Mexico,Venezuela,1-0
C Am & Caribbean Games,1938-02-14,Panama,Colombia,2-4
C Am & Caribbean Games,1938-02-16,Panama,Costa Rica,0-11
C Am & Caribbean Games,1938-02-16,El Salvador,Venezuela,3-2
C Am & Caribbean Games,1938-02-18,Costa Rica,Colombia,2-1
C Am & Caribbean Games,1938-02-18,Mexico,El Salvador,6-0
C Am & Caribbean Games,1938-02-20,Costa Rica,Venezuela,3-0
C Am & Caribbean Games,1938-02-20,Panama,Mexico,2-2
C Am & Caribbean Games,1938-02-21,Colombia,El Salvador,3-2
C Am & Caribbean Games,1938-02-22,Mexico,Costa Rica,2-1
C Am & Caribbean Games,1938-02-23,Panama,El Salvador,1-2
C Am & Caribbean Games,1938-02-23,Venezuela,Colombia,2-1
C Am & Caribbean Games,1946-12-09,Panama,Guatemala,4-2
C Am & Caribbean Games,1946-12-09,Colombia,Curaçao,4-2
C Am & Caribbean Games,1946-12-10,Costa Rica,Puerto Rico,12-0
C Am & Caribbean Games,1946-12-12,Curaçao,Guatemala,2-2
C Am & Caribbean Games,1946-12-12,Colombia,Venezuela,2-0
C Am & Caribbean Games,1946-12-13,Panama,Puerto Rico,12-1
C Am & Caribbean Games,1946-12-14,Costa Rica,Venezuela,4-2
C Am & Caribbean Games,1946-12-15,Colombia,Guatemala,4-2
C Am & Caribbean Games,1946-12-15,Curaçao,Puerto Rico,14-0
C Am & Caribbean Games,1946-12-16,Costa Rica,Guatemala,6-0
C Am & Caribbean Games,1946-12-16,Panama,Venezuela,2-1
C Am & Caribbean Games,1946-12-17,Curaçao,Panama,2-2
C Am & Caribbean Games,1946-12-17,Colombia,Puerto Rico,4-1
C Am & Caribbean Games,1946-12-18,Colombia,Costa Rica,4-1
C Am & Caribbean Games,1946-12-18,Venezuela,Guatemala,3-2
C Am & Caribbean Games,1946-12-19,Guatemala,Puerto Rico,4-1
C Am & Caribbean Games,1946-12-19,Curaçao,Venezuela,1-0
C Am & Caribbean Games,1946-12-20,Curaçao,Costa Rica,4-2
C Am & Caribbean Games,1946-12-20,Colombia,Panama,2-1
C Am & Caribbean Games,1946-12-20,Venezuela,Puerto Rico,6-0
C Am & Caribbean Games,1946-12-21,Panama,Costa Rica,2-0
C Am & Caribbean Games,1950-02-26,Costa Rica,El Salvador,1-0
C Am & Caribbean Games,1950-02-26,Haiti,Nicaragua,4-2
C Am & Caribbean Games,1950-02-27,Costa Rica,Netherlands Antilles,1-0
C Am & Caribbean Games,1950-02-28,El Salvador,Nicaragua,4-1
C Am & Caribbean Games,1950-03-01,El Salvador,Netherlands Antilles,1-1
C Am & Caribbean Games,1950-03-02,Netherlands Antilles,Nicaragua,11-1
C Am & Caribbean Games,1950-03-03,El Salvador,Haiti,1-0
C Am & Caribbean Games,1950-03-05,Netherlands Antilles,Haiti,3-0
C Am & Caribbean Games,1950-03-06,Guatemala,Honduras,0-1
C Am & Caribbean Games,1950-03-09,Netherlands Antilles,Honduras,2-1
C Am & Caribbean Games,1950-03-10,El Salvador,Netherlands Antilles,3-1
C Am & Caribbean Games,1950-03-11,Honduras,El Salvador,2-1
C Am & Caribbean Games,1950-03-11,Guatemala,Netherlands Antilles,0-2
C Am & Caribbean Games,1950-03-13,Guatemala,El Salvador,2-0
C Am & Caribbean Games,1950-03-14,Guatemala,Honduras,0-1
C Am & Caribbean Games,1954-03-12,El Salvador,Cuba,3-1
C Am & Caribbean Games,1954-03-16,Panama,Cuba,4-0
C Am & Caribbean Games,1954-03-17,El Salvador,Panama,1-0
C Am & Caribbean Games,1959-01-07,Netherlands Antilles,Puerto Rico,15-0
C Am & Caribbean Games,1959-01-09,Venezuela,Netherlands Antilles,2-2
C Am & Caribbean Games,1959-01-10,Panama,Puerto Rico,2-1
C Am & Caribbean Games,1959-01-12,Netherlands Antilles,Panama,3-1
C Am & Caribbean Games,1959-01-14,Venezuela,Panama,2-2
C Am & Caribbean Games,1959-01-16,Venezuela,Puerto Rico,7-0
C Am & Caribbean Games,1962-08-13,Netherlands Antilles,Cuba,2-1
C Am & Caribbean Games,1962-08-13,Jamaica,Puerto Rico,6-1
C Am & Caribbean Games,1962-08-15,Jamaica,Netherlands Antilles,1-3
C Am & Caribbean Games,1962-08-15,Venezuela,Cuba,2-0
C Am & Caribbean Games,1962-08-17,Netherlands Antilles,Puerto Rico,4-0
C Am & Caribbean Games,1962-08-17,Jamaica,Venezuela,0-2
C Am & Caribbean Games,1962-08-20,Netherlands Antilles,Venezuela,4-3
C Am & Caribbean Games,1962-08-22,Cuba,Puerto Rico,2-0
C Am & Caribbean Games,1962-08-24,Jamaica,Cuba,6-1
C Am & Caribbean Games,1962-08-24,Venezuela,Puerto Rico,4-0
C Am & Caribbean Games,1966-06-12,Puerto Rico,Netherlands Antilles,0-4
C Am & Caribbean Games,1966-06-13,Cuba,El Salvador,0-0
C Am & Caribbean Games,1966-06-14,Netherlands Antilles,Jamaica,1-0
C Am & Caribbean Games,1966-06-15,Puerto Rico,Cuba,1-1
C Am & Caribbean Games,1966-06-16,Cuba,Jamaica,7-0
C Am & Caribbean Games,1966-06-18,Puerto Rico,El Salvador,2-2
C Am & Caribbean Games,1966-06-20,El Salvador,Jamaica,1-0
C Am & Caribbean Games,1966-06-20,Netherlands Antilles,Cuba,4-2
C Am & Caribbean Games,1966-06-22,Netherlands Antilles,El Salvador,2-0
C Am & Caribbean Games,1966-06-22,Puerto Rico,Jamaica,0-4
C Am & Caribbean Games,1970-03-01,Netherlands Antilles,Dominican Republic,1-0
C Am & Caribbean Games,1970-03-01,Puerto Rico,Bahamas,3-0
C Am & Caribbean Games,1970-03-02,Panama,Nicaragua,4-3
C Am & Caribbean Games,1970-03-03,Netherlands Antilles,Puerto Rico,3-0
C Am & Caribbean Games,1970-03-04,Netherlands Antilles,Bahamas,8-1
C Am & Caribbean Games,1970-03-04,Panama,Cuba,3-4
C Am & Caribbean Games,1970-03-06,Dominican Republic,Puerto Rico,5-0
C Am & Caribbean Games,1970-03-07,Cuba,Nicaragua,4-0
C Am & Caribbean Games,1970-03-09,Cuba,Netherlands Antilles,2-0
C Am & Caribbean Games,1974-02-28,Cuba,Barbados,2-0
C Am & Caribbean Games,1974-02-28,Nicaragua,Puerto Rico,2-1
C Am & Caribbean Games,1974-02-28,Bahamas,Panama,1-0
C Am & Caribbean Games,1974-02-28,Dominican Republic,Bermuda,2-3
C Am & Caribbean Games,1974-03-02,Trinidad and Tobago,Barbados,1-0
C Am & Caribbean Games,1974-03-02,Cuba,Puerto Rico,8-0
C Am & Caribbean Games,1974-03-02,Bermuda,Panama,1-0
C Am & Caribbean Games,1974-03-04,Cuba,Trinidad and Tobago,1-0
C Am & Caribbean Games,1974-03-04,Barbados,Nicaragua,1-0
C Am & Caribbean Games,1974-03-04,Dominican Republic,Bahamas,2-0
C Am & Caribbean Games,1974-03-06,Trinidad and Tobago,Puerto Rico,4-0
C Am & Caribbean Games,1974-03-06,Cuba,Nicaragua,5-0
C Am & Caribbean Games,1974-03-06,Bermuda,Bahamas,3-0
C Am & Caribbean Games,1974-03-08,Trinidad and Tobago,Nicaragua,3-0
C Am & Caribbean Games,1974-03-08,Barbados,Puerto Rico,2-0
C Am & Caribbean Games,1974-03-08,Dominican Republic,Panama,1-3
C Am & Caribbean Games,1974-03-10,Cuba,Bermuda,2-0
C Am & Caribbean Games,1974-03-12,Cuba,Trinidad and Tobago,1-1
C Am & Caribbean Games,1978-07-08,Trinidad and Tobago,Netherlands Antilles,3-1
C Am & Caribbean Games,1978-07-08,Bermuda,Panama,1-1
C Am & Caribbean Games,1978-07-10,Panama,Netherlands Antilles,6-1
C Am & Caribbean Games,1978-07-10,Cuba,Bermuda,4-0
C Am & Caribbean Games,1978-07-11,Dominican Republic,Puerto Rico,0-0
C Am & Caribbean Games,1978-07-12,Bermuda,Netherlands Antilles,4-0
C Am & Caribbean Games,1978-07-12,Cuba,Trinidad and Tobago,3-0
C Am & Caribbean Games,1978-07-14,Cuba,Netherlands Antilles,2-1
C Am & Caribbean Games,1978-07-14,Trinidad and Tobago,Panama,3-1
C Am & Caribbean Games,1978-07-16,Bermuda,Trinidad and Tobago,3-2
C Am & Caribbean Games,1978-07-16,Cuba,Panama,1-0
C Am & Caribbean Games,1982-08-08,Cuba,Bahamas,1-0
C Am & Caribbean Games,1982-08-08,Bermuda,Puerto Rico,3-0
C Am & Caribbean Games,1982-08-10,Cuba,Puerto Rico,2-0
C Am & Caribbean Games,1982-08-10,Bermuda,Bahamas,3-0
C Am & Caribbean Games,1982-08-12,Netherlands Antilles,Nicaragua,1-0
C Am & Caribbean Games,1982-08-12,Cuba,Bermuda,4-1
C Am & Caribbean Games,1982-08-12,Puerto Rico,Bahamas,4-1
C Am & Caribbean Games,1982-08-16,Cuba,Bermuda,2-1
C Am & Caribbean Games,1986-06-25,Honduras,Netherlands Antilles,2-0
C Am & Caribbean Games,1986-06-26,Barbados,Netherlands Antilles,1-1
C Am & Caribbean Games,1986-06-30,Honduras,Antigua and Barbuda,1-0
C Am & Caribbean Games,1986-06-30,Dominican Republic,Barbados,3-1
C Am & Caribbean Games,1986-06-30,Cuba,Bahamas,4-0
C Am & Caribbean Games,1986-06-30,Honduras,Barbados,1-0
C Am & Caribbean Games,1986-06-30,Cuba,Puerto Rico,4-0
C Am & Caribbean Games,1986-06-30,Dominican Republic,Antigua and Barbuda,1-1
C Am & Caribbean Games,1986-07-02,Dominican Republic,Honduras,0-2
C Am & Caribbean Games,1986-07-04,Cuba,Honduras,1-1
