Matchday,Date,Home,Away,FullTime
Central American Games,1930-03-16,Cuba,Jamaica,3-1
Central American Games,1930-03-17,Costa Rica,Guatemala,8-1
Central American Games,1930-03-18,Honduras,Jamaica,5-4
Central American Games,1930-03-19,El Salvador,Guatemala,8-2
Central American Games,1930-03-20,Cuba,Honduras,7-0
Central American Games,1930-03-22,Costa Rica,El Salvador,9-2
Central American Games,1930-03-23,Cuba,Honduras,5-0
Central American Games,1930-03-26,Costa Rica,El Salvador,5-0
Central American Games,1930-03-29,Honduras,El Salvador,4-1
Central American Games,1930-03-30,Cuba,Costa Rica,2-1
Central American Games,1930-04-01,Cuba,El Salvador,5-2
Central American Games,1930-04-04,Costa Rica,Honduras,8-0
Central American Games,1935-03-24,El Salvador,Cuba,4-1
Central American Games,1935-03-25,Costa Rica,Guatemala,4-3
Central American Games,1935-03-25,Cuba,Honduras,3-0
Central American Games,1935-03-27,El Salvador,Mexico,1-8
Central American Games,1935-03-27,Cuba,Guatemala,2-1
Central American Games,1935-03-28,El Salvador,Honduras,3-4
Central American Games,1935-03-28,Mexico,Guatemala,5-1
Central American Games,1935-03-30,El Salvador,Costa Rica,1-6
Central American Games,1935-03-30,Mexico,Cuba,6-1
Central American Games,1935-03-31,Costa Rica,Cuba,2-1
Central American Games,1935-03-31,Guatemala,Honduras,0-0
Central American Games,1935-04-01,Mexico,Honduras,8-2
Central American Games,1935-04-02,Mexico,Costa Rica,2-0
Central American Games,1935-04-03,Costa Rica,Honduras,6-0
Central American Games,1935-04-03,El Salvador,Guatemala,6-1
