Matchday,Date,Home,Away,FullTime
Confederations Cup,1997-12-12,Australia,Mexico,3-1
Confederations Cup,1997-12-12,Saudi Arabia,Brazil,0-3
Confederations Cup,1997-12-13,Uruguay,United Arab Emirates,2-0
Confederations Cup,1997-12-13,Czechia,South Africa,2-2
Confederations Cup,1997-12-14,Australia,Brazil,0-0
Confederations Cup,1997-12-14,Saudi Arabia,Mexico,0-5
Confederations Cup,1997-12-15,United Arab Emirates,South Africa,1-0
Confederations Cup,1997-12-15,Uruguay,Czechia,2-1
Confederations Cup,1997-12-16,Saudi Arabia,Australia,1-0
Confederations Cup,1997-12-16,Brazil,Mexico,3-2
Confederations Cup,1997-12-17,Czechia,United Arab Emirates,6-1
Confederations Cup,1997-12-17,Uruguay,South Africa,4-3
Confederations Cup,1997-12-19,Australia,Uruguay,1-0
Confederations Cup,1997-12-19,Brazil,Czechia,2-0
Confederations Cup,1997-12-21,Brazil,Australia,6-0
Confederations Cup,1997-12-21,Czechia,Uruguay,1-0
Confederations Cup,1999-07-24,United States,New Zealand,2-1
Confederations Cup,1999-07-24,Brazil,Germany,4-0
Confederations Cup,1999-07-25,Mexico,Saudi Arabia,5-1
Confederations Cup,1999-07-25,Bolivia,Egypt,2-2
Confederations Cup,1999-07-27,Bolivia,Saudi Arabia,0-0
Confederations Cup,1999-07-27,Mexico,Egypt,2-2
Confederations Cup,1999-07-28,Brazil,United States,1-0
Confederations Cup,1999-07-28,Germany,New Zealand,2-0
Confederations Cup,1999-07-29,Saudi Arabia,Egypt,5-1
Confederations Cup,1999-07-29,Mexico,Bolivia,1-0
Confederations Cup,1999-07-30,United States,Germany,2-0
Confederations Cup,1999-07-30,Brazil,New Zealand,2-0
Confederations Cup,1999-08-01,Brazil,Saudi Arabia,8-2
Confederations Cup,1999-08-01,Mexico,United States,1-0
Confederations Cup,1999-08-03,United States,Saudi Arabia,2-0
Confederations Cup,1999-08-04,Mexico,Brazil,4-3
Confederations Cup,2001-05-30,Australia,Mexico,2-0
Confederations Cup,2001-05-30,South Korea,France,0-5
Confederations Cup,2001-05-31,Japan,Canada,3-0
Confederations Cup,2001-05-31,Brazil,Cameroon,2-0
Confederations Cup,2001-06-01,Australia,France,1-0
Confederations Cup,2001-06-01,South Korea,Mexico,2-1
Confederations Cup,2001-06-02,Japan,Cameroon,2-0
Confederations Cup,2001-06-02,Brazil,Canada,0-0
Confederations Cup,2001-06-03,South Korea,Australia,1-0
Confederations Cup,2001-06-03,France,Mexico,4-0
Confederations Cup,2001-06-04,Japan,Brazil,0-0
Confederations Cup,2001-06-04,Cameroon,Canada,2-0
Confederations Cup,2001-06-07,Japan,Australia,1-0
Confederations Cup,2001-06-07,France,Brazil,2-1
Confederations Cup,2001-06-09,Australia,Brazil,1-0
Confederations Cup,2001-06-10,Japan,France,0-1
Confederations Cup,2003-06-18,Japan,New Zealand,3-0
Confederations Cup,2003-06-18,France,Colombia,1-0
Confederations Cup,2003-06-19,Cameroon,Brazil,1-0
Confederations Cup,2003-06-19,Turkey,United States,2-1
