Matchday,Date,Home,Away,FullTime
Friendly tournament,1913-06-15,Argentina,Uruguay,1-1
Friendly tournament,1913-07-09,Argentina,Uruguay,2-1
Friendly tournament,1919-06-01,Brazil,Argentina,3-3
Friendly tournament,1921-06-03,China,Japan,3-0
Friendly tournament,1922-10-29,Brazil,Paraguay,3-1
Friendly tournament,1923-10-22,Trinidad and Tobago,British Guiana,0-0
Friendly tournament,1923-10-24,Trinidad and Tobago,British Guiana,3-0
Friendly tournament,1923-10-27,Trinidad and Tobago,British Guiana,1-0
Friendly tournament,1923-11-22,Brazil,Paraguay,2-0
Friendly tournament,1923-12-02,Argentina,Brazil,0-2
Friendly tournament,1923-12-08,Argentina,Uruguay,2-3
Friendly tournament,1924-08-10,Argentina,Uruguay,0-0
Friendly tournament,1924-11-16,Uruguay,Argentina,1-0
Friendly tournament,1925-02-09,British Guiana,Trinidad and Tobago,1-3
Friendly tournament,1925-02-13,British Guiana,Trinidad and Tobago,2-1
Friendly tournament,1925-02-16,British Guiana,Trinidad and Tobago,0-1
Friendly tournament,1925-05-01,Argentina,Uruguay,1-0
Friendly tournament,1925-05-19,British Guiana,Suriname,3-5
Friendly tournament,1925-05-23,British Guiana,Suriname,0-0
Friendly tournament,1925-05-26,British Guiana,Suriname,1-0
Friendly tournament,1925-07-14,Uruguay,Paraguay,0-1
Friendly tournament,1925-07-18,Uruguay,Paraguay,0-1
Friendly tournament,1925-08-15,Paraguay,Uruguay,1-0
Friendly tournament,1925-08-19,Paraguay,Uruguay,0-1
Friendly tournament,1925-08-23,Paraguay,Uruguay,0-0
Friendly tournament,1926-10-23,Trinidad and Tobago,British Guiana,1-1
Friendly tournament,1926-10-30,Trinidad and Tobago,British Guiana,1-0
Friendly tournament,1926-11-06,Trinidad and Tobago,British Guiana,3-0
Friendly tournament,1927-08-28,Suriname,British Guiana,0-2
Friendly tournament,1927-08-31,Suriname,British Guiana,1-2
Friendly tournament,1927-09-02,Suriname,British Guiana,1-1
Friendly tournament,1928-03-16,British Guiana,Trinidad and Tobago,1-1
Friendly tournament,1928-03-21,British Guiana,Trinidad and Tobago,0-0
Friendly tournament,1928-03-28,British Guiana,Trinidad and Tobago,0-1
Friendly tournament,1928-10-04,British Guiana,Suriname,2-1
Friendly tournament,1928-10-09,British Guiana,Suriname,0-1
Friendly tournament,1928-10-12,British Guiana,Suriname,4-0
Friendly tournament,1929-06-16,Argentina,Uruguay,2-0
Friendly tournament,1929-06-16,Uruguay,Argentina,1-1
Friendly tournament,1929-10-26,Trinidad and Tobago,British Guiana,0-0
Friendly tournament,1929-11-02,Trinidad and Tobago,British Guiana,0-1
Friendly tournament,1929-11-09,Trinidad and Tobago,British Guiana,3-1
Friendly tournament,1929-11-11,Trinidad and Tobago,British Guiana,1-1
Friendly tournament,1929-11-13,Trinidad and Tobago,British Guiana,0-1
Friendly tournament,1931-03-09,Trinidad and Tobago,Barbados,7-1
Friendly tournament,1931-03-11,British Guiana,Trinidad and Tobago,1-1
Friendly tournament,1931-03-13,British Guiana,Barbados,9-0
Friendly tournament,1931-03-16,Trinidad and Tobago,Barbados,5-1
Friendly tournament,1931-03-18,British Guiana,Trinidad and Tobago,2-0
Friendly tournament,1931-03-20,British Guiana,Barbados,7-0
Friendly tournament,1931-08-30,Suriname,British Guiana,1-2
Friendly tournament,1931-09-01,Suriname,British Guiana,1-0
Friendly tournament,1931-09-03,Suriname,British Guiana,2-0
Friendly tournament,1932-03-02,British Guiana,Suriname,3-3
Friendly tournament,1932-03-05,British Guiana,Suriname,1-2
Friendly tournament,1932-03-07,British Guiana,Suriname,3-1
Friendly tournament,1932-04-14,British Guiana,Trinidad and Tobago,1-0
Friendly tournament,1932-04-16,Barbados,British Guiana,0-1
Friendly tournament,1932-04-18,Barbados,Trinidad and Tobago,1-0
Friendly tournament,1932-04-21,Trinidad and Tobago,British Guiana,2-1
Friendly tournament,1932-04-23,Barbados,British Guiana,2-2
Friendly tournament,1932-04-26,Barbados,Trinidad and Tobago,1-3
Friendly tournament,1932-08-31,Suriname,British Guiana,1-0
Friendly tournament,1932-09-02,Suriname,British Guiana,1-0
Friendly tournament,1932-09-04,Suriname,British Guiana,0-2
Friendly tournament,1933-05-03,British Guiana,Suriname,2-0
Friendly tournament,1933-05-05,British Guiana,Suriname,0-1
Friendly tournament,1933-05-08,British Guiana,Suriname,1-0
Friendly tournament,1933-08-27,Suriname,British Guiana,2-1
Friendly tournament,1933-08-31,Suriname,British Guiana,1-2
Friendly tournament,1933-09-07,Suriname,British Guiana,2-0
Friendly tournament,1933-10-26,British Guiana,Barbados,2-0
Friendly tournament,1933-10-28,Trinidad and Tobago,British Guiana,1-1
Friendly tournament,1933-10-30,Trinidad and Tobago,Barbados,3-1
Friendly tournament,1933-11-01,British Guiana,Barbados,5-2
Friendly tournament,1933-11-04,Trinidad and Tobago,British Guiana,1-0
Friendly tournament,1933-11-06,Trinidad and Tobago,Barbados,6-0
Friendly tournament,1934-05-14,British Guiana,Suriname,0-1
Friendly tournament,1934-05-16,British Guiana,Suriname,1-1
Friendly tournament,1934-05-18,British Guiana,Suriname,1-1
Friendly tournament,1934-07-22,Curaçao,Suriname,3-1
Friendly tournament,1934-07-25,Curaçao,Suriname,3-2
Friendly tournament,1934-07-29,Curaçao,Suriname,2-2
Friendly tournament,1934-08-08,Estonia,Finland,1-1
Friendly tournament,1934-08-28,Suriname,British Guiana,0-0
Friendly tournament,1934-08-31,Suriname,British Guiana,1-0
Friendly tournament,1934-09-02,Suriname,British Guiana,2-0
Friendly tournament,1935-05-10,British Guiana,Suriname,0-1
Friendly tournament,1935-05-15,British Guiana,Suriname,4-0
Friendly tournament,1935-05-17,British Guiana,Suriname,1-3
Friendly tournament,1935-05-20,Suriname,Curaçao,0-1
Friendly tournament,1935-05-22,Suriname,Curaçao,4-1
Friendly tournament,1935-05-24,Suriname,Curaçao,2-1
Friendly tournament,1935-08-29,Suriname,British Guiana,0-1
Friendly tournament,1935-08-31,Suriname,British Guiana,4-0
Friendly tournament,1935-09-03,Suriname,British Guiana,2-1
Friendly tournament,1935-12-29,French Guiana,Suriname,1-3
Friendly tournament,1936-05-06,British Guiana,Suriname,1-1
Friendly tournament,1936-05-13,British Guiana,Suriname,1-2
Friendly tournament,1936-08-29,Suriname,British Guiana,0-0
Friendly tournament,1936-08-31,Suriname,British Guiana,2-4
Friendly tournament,1936-09-01,Suriname,British Guiana,0-2
Friendly tournament,1936-09-02,Suriname,British Guiana,6-0
Friendly tournament,1937-01-04,Suriname,British Guiana,8-0
Friendly tournament,1937-01-05,Trinidad and Tobago,British Guiana,3-0
Friendly tournament,1937-01-06,Suriname,Trinidad and Tobago,1-1
Friendly tournament,1937-01-08,Suriname,Trinidad and Tobago,3-3
Friendly tournament,1937-01-09,Suriname,Trinidad and Tobago,2-2
Friendly tournament,1937-05-11,British Guiana,Suriname,1-1
Friendly tournament,1937-05-18,British Guiana,Suriname,1-0
Friendly tournament,1937-05-21,British Guiana,Suriname,0-0
Friendly tournament,1937-08-31,Suriname,British Guiana,1-0
Friendly tournament,1937-09-01,Suriname,British Guiana,3-2
Friendly tournament,1937-09-02,Suriname,British Guiana,2-1
Friendly tournament,1938-03-28,British Guiana,Trinidad and Tobago,1-1
Friendly tournament,1938-04-01,British Guiana,Trinidad and Tobago,0-3
Friendly tournament,1938-04-04,Trinidad and Tobago,Suriname,1-0
Friendly tournament,1938-04-05,Suriname,Trinidad and Tobago,3-0
Friendly tournament,1938-04-07,British Guiana,Trinidad and Tobago,0-2
Friendly tournament,1938-04-08,Suriname,Trinidad and Tobago,1-0
Friendly tournament,1938-04-11,British Guiana,Suriname,1-1
Friendly tournament,1938-04-12,British Guiana,Suriname,0-2
Friendly tournament,1938-04-14,British Guiana,Suriname,0-3
Friendly tournament,1938-07-05,Curaçao,Suriname,2-1
Friendly tournament,1938-07-07,Curaçao,Suriname,1-0
Friendly tournament,1938-07-10,Curaçao,Suriname,4-1
Friendly tournament,1938-08-28,Yugoslavia,Czechoslovakia,1-3
Friendly tournament,1938-08-31,Suriname,British Guiana,1-1
Friendly tournament,1938-09-04,Suriname,British Guiana,1-0
Friendly tournament,1938-09-09,Suriname,British Guiana,3-0
Friendly tournament,1939-06-14,Norway,Sweden,1-0
Friendly tournament,1939-06-15,Denmark,Finland,5-0
Friendly tournament,1939-06-18,Denmark,Norway,6-3
Friendly tournament,1940-03-02,Argentina,Chile,4-1
Friendly tournament,1940-03-09,Argentina,Chile,3-2
Friendly tournament,1940-06-16,Japan,Philippines,1-0
Friendly tournament,1941-01-05,Chile,Argentina,1-2
Friendly tournament,1941-01-09,Chile,Argentina,2-5
Friendly tournament,1941-01-19,Peru,Argentina,1-1
Friendly tournament,1941-01-26,Peru,Argentina,1-1
Friendly tournament,1941-01-29,Peru,Argentina,0-3
Friendly tournament,1941-08-23,Iran,British India,1-0
Friendly tournament,1941-08-24,Afghanistan,Iran,0-0
Friendly tournament,1941-08-31,Afghanistan,British India,1-3
Friendly tournament,1943-11-15,British Guiana,Suriname,2-0
Friendly tournament,1943-11-19,British Guiana,Suriname,0-1
Friendly tournament,1943-11-22,British Guiana,Suriname,0-4
Friendly tournament,1944-04-01,Venezuela,Aruba,3-1
Friendly tournament,1944-04-02,Curaçao,Haiti,5-0
Friendly tournament,1944-04-05,Venezuela,Haiti,2-0
Friendly tournament,1944-04-08,Aruba,Haiti,1-1
Friendly tournament,1944-04-09,Curaçao,Venezuela,3-3
Friendly tournament,1944-04-10,Curaçao,Aruba,3-1
Friendly tournament,1944-08-25,Suriname,Curaçao,1-2
Friendly tournament,1944-08-27,Suriname,Aruba,5-0
Friendly tournament,1944-08-29,Curaçao,Aruba,2-1
Friendly tournament,1944-08-31,Suriname,Curaçao,0-2
Friendly tournament,1944-09-03,Curaçao,Aruba,5-1
Friendly tournament,1944-09-05,Suriname,Aruba,2-3
Friendly tournament,1944-10-04,Trinidad and Tobago,British Guiana,1-1
Friendly tournament,1944-10-05,Trinidad and Tobago,Barbados,3-0
Friendly tournament,1944-10-07,British Guiana,Barbados,3-0
Friendly tournament,1944-10-09,Trinidad and Tobago,Barbados,6-1
Friendly tournament,1944-10-11,British Guiana,Barbados,1-0
Friendly tournament,1944-10-13,Trinidad and Tobago,British Guiana,3-0
Friendly tournament,1945-07-21,Switzerland,England,3-1
Friendly tournament,1945-08-26,Suriname,British Guiana,3-1
Friendly tournament,1945-08-31,Suriname,British Guiana,4-1
Friendly tournament,1945-09-02,Suriname,British Guiana,6-0
Friendly tournament,1946-05-26,Curaçao,Aruba,2-1
Friendly tournament,1946-06-05,Aruba,Suriname,8-1
Friendly tournament,1946-06-10,Curaçao,Suriname,6-0
Friendly tournament,1946-10-21,British Guiana,Suriname,3-0
Friendly tournament,1946-10-25,British Guiana,Suriname,0-1
Friendly tournament,1946-10-28,British Guiana,Suriname,3-1
Friendly tournament,1947-06-26,Sweden,Denmark,6-1
Friendly tournament,1947-06-26,Finland,Norway,1-2
Friendly tournament,1947-06-28,Sweden,Norway,5-1
Friendly tournament,1947-09-01,Suriname,British Guiana,4-0
Friendly tournament,1947-09-05,Suriname,British Guiana,0-0
Friendly tournament,1947-09-07,Suriname,British Guiana,1-0
Friendly tournament,1947-11-04,Trinidad and Tobago,British Guiana,1-2
Friendly tournament,1947-11-06,British Guiana,Jamaica,2-0
Friendly tournament,1947-11-08,Trinidad and Tobago,Jamaica,6-0
Friendly tournament,1947-11-10,British Guiana,Jamaica,0-0
Friendly tournament,1947-11-13,Trinidad and Tobago,Jamaica,1-0
Friendly tournament,1947-11-15,Trinidad and Tobago,British Guiana,2-0
Friendly tournament,1947-12-05,French Somaliland,Ethiopia,0-5
Friendly tournament,1948-01-10,St Vincent & Grenadines,Trinidad and Tobago,1-1
Friendly tournament,1948-01-11,St Vincent & Grenadines,Trinidad and Tobago,2-2
Friendly tournament,1948-01-12,St Vincent & Grenadines,Trinidad and Tobago,1-2
Friendly tournament,1948-03-27,Netherlands,Luxembourg,1-0
Friendly tournament,1948-04-30,British Guiana,Suriname,5-4
Friendly tournament,1948-05-02,British Guiana,Suriname,0-2
Friendly tournament,1948-05-03,British Guiana,Suriname,3-0
Friendly tournament,1948-09-01,Suriname,British Guiana,0-0
Friendly tournament,1948-09-05,Suriname,British Guiana,6-0
Friendly tournament,1948-09-07,Suriname,British Guiana,2-2
Friendly tournament,1949-05-01,Ethiopia,French Somaliland,6-0
Friendly tournament,1949-05-09,Cuba,Martinique,0-0
Friendly tournament,1949-05-12,Suriname,Cuba,0-1
Friendly tournament,1949-05-14,Cuba,Dominican Republic,1-0
Friendly tournament,1949-07-30,Curaçao,Aruba,3-0
Friendly tournament,1949-08-04,Curaçao,Guatemala,1-1
Friendly tournament,1949-08-07,Guatemala,Aruba,2-1
Friendly tournament,1949-12-17,Jamaica,Cuba,5-2
Friendly tournament,1949-12-19,Haiti,Jamaica,2-0
Friendly tournament,1950-04-30,Paraguay,Uruguay,3-2
Friendly tournament,1950-08-27,Suriname,British Guiana,0-1
Friendly tournament,1950-08-31,Suriname,British Guiana,3-0
Friendly tournament,1950-09-03,Suriname,British Guiana,4-1
Friendly tournament,1950-11-18,Suriname,Curaçao,3-2
Friendly tournament,1950-11-23,Trinidad and Tobago,Curaçao,3-2
Friendly tournament,1950-11-25,Trinidad and Tobago,Suriname,5-0
Friendly tournament,1950-11-28,Curaçao,Suriname,3-0
Friendly tournament,1950-11-30,Trinidad and Tobago,Suriname,1-1
Friendly tournament,1950-12-02,Trinidad and Tobago,Curaçao,5-1
Friendly tournament,1950-12-05,Guadeloupe,Trinidad and Tobago,0-1
Friendly tournament,1951-08-17,Curaçao,Honduras,3-1
Friendly tournament,1951-08-31,Suriname,British Guiana,6-1
Friendly tournament,1951-09-02,Suriname,British Guiana,5-0
