Matchday,Date,Home,Away,FullTime
Intercontinental Champ,1992-10-15,Saudi Arabia,United States,3-0
Intercontinental Champ,1992-10-16,Argentina,Ivory Coast,4-0
Intercontinental Champ,1992-10-19,United States,Ivory Coast,5-2
Intercontinental Champ,1992-10-20,Saudi Arabia,Argentina,1-3
Intercontinental Champ,1995-01-06,Nigeria,Japan,3-0
Intercontinental Champ,1995-01-06,Saudi Arabia,Mexico,0-2
Intercontinental Champ,1995-01-08,Argentina,Japan,5-1
Intercontinental Champ,1995-01-08,Saudi Arabia,Denmark,0-2
Intercontinental Champ,1995-01-10,Argentina,Nigeria,0-0
Intercontinental Champ,1995-01-10,Denmark,Mexico,1-1
Intercontinental Champ,1995-01-13,Mexico,Nigeria,1-1
Intercontinental Champ,1995-01-13,Denmark,Argentina,2-0
Intercontinental Champ,2022-06-01,Argentina,Italy,3-0
