Matchday,Date,Home,Away,FullTime
Island Games,1989-07-09,Faroe Islands,Greenland,3-0
Island Games,1991-06-25,Faroe Islands,Greenland,3-2
Island Games,1993-07-06,Greenland,Gibraltar,5-0
Island Games,1995-07-16,Gibraltar,Greenland,0-1
Island Games,1997-07-02,Gibraltar,Greenland,5-1
Island Games,2003-06-30,Gibraltar,Greenland,2-0
Island Games,2007-07-04,Gibraltar,Bermuda,2-0
Island Games,2013-07-14,Bermuda,Greenland,3-0
Island Games,2013-07-15,Bermuda,Falkland Islands,8-0
Island Games,2013-07-18,Bermuda,Greenland,1-0
Island Games,2023-07-11,Bermuda,Greenland,3-2
