Matchday,Date,Home,Away,FullTime
Mediterranean Games,1951-10-14,Greece,Syria,4-0
Mediterranean Games,1951-10-16,Egypt,Syria,8-0
Mediterranean Games,1951-10-18,Egypt,Greece,0-2
Mediterranean Games,1955-07-25,Egypt,Syria,3-0
Mediterranean Games,1963-09-21,Morocco,Syria,1-0
Mediterranean Games,1963-09-25,Morocco,Tunisia,1-0
Mediterranean Games,1963-09-27,Tunisia,Syria,3-1
Mediterranean Games,1967-09-08,Tunisia,Libya,3-0
Mediterranean Games,1967-09-12,Algeria,Morocco,3-1
Mediterranean Games,1971-10-08,Morocco,Egypt,1-0
Mediterranean Games,1971-10-12,Tunisia,Syria,1-0
Mediterranean Games,1975-08-29,Algeria,Egypt,1-0
Mediterranean Games,1975-08-31,Morocco,Tunisia,0-0
Mediterranean Games,1975-08-31,Algeria,Libya,2-1
Mediterranean Games,1975-09-02,Egypt,Libya,4-2
Mediterranean Games,1975-09-04,Algeria,Tunisia,2-1
Mediterranean Games,1975-09-06,Morocco,Tunisia,1-1
Mediterranean Games,1979-09-23,Egypt,Morocco,0-0
Mediterranean Games,1979-09-23,Algeria,Tunisia,1-1
Mediterranean Games,1983-09-11,Egypt,Syria,1-0
Mediterranean Games,1983-09-11,Tunisia,Algeria,3-2
Mediterranean Games,1983-09-13,Morocco,Libya,2-0
Mediterranean Games,1983-09-15,Morocco,Egypt,2-1
Mediterranean Games,1987-09-16,Lebanon,San Marino,0-0
Mediterranean Games,1987-09-18,Syria,San Marino,3-0
Mediterranean Games,1987-09-20,Syria,Lebanon,6-1
