Matchday,Date,Home,Away,FullTime
Olympic Games,1908-10-19,Denmark,France,9-0
Olympic Games,1908-10-20,England,Sweden,12-1
Olympic Games,1908-10-22,England,Netherlands,4-0
Olympic Games,1908-10-22,Denmark,France,17-1
Olympic Games,1908-10-23,Netherlands,Sweden,2-0
Olympic Games,1908-10-24,England,Denmark,2-0
Olympic Games,1912-06-29,Austria,Germany,5-1
Olympic Games,1912-06-29,Sweden,Netherlands,3-4
Olympic Games,1912-06-29,Finland,Italy,3-2
Olympic Games,1912-06-30,England,Hungary,7-0
Olympic Games,1912-06-30,Netherlands,Austria,3-1
Olympic Games,1912-06-30,Denmark,Norway,7-0
Olympic Games,1912-06-30,Finland,Russia,2-1
Olympic Games,1912-07-01,Austria,Norway,1-0
Olympic Games,1912-07-01,Germany,Russia,16-0
Olympic Games,1912-07-01,Sweden,Italy,0-1
Olympic Games,1912-07-02,England,Finland,4-0
Olympic Games,1912-07-02,Denmark,Netherlands,4-1
Olympic Games,1912-07-03,Austria,Italy,5-1
Olympic Games,1912-07-03,Hungary,Germany,3-1
Olympic Games,1912-07-04,England,Denmark,4-2
Olympic Games,1912-07-04,Netherlands,Finland,9-0
Olympic Games,1912-07-05,Hungary,Austria,3-0
Olympic Games,1920-08-28,Italy,Egypt,2-1
Olympic Games,1920-08-28,Norway,England,3-1
Olympic Games,1920-08-28,Netherlands,Luxembourg,3-0
Olympic Games,1920-08-28,Sweden,Greece,9-0
Olympic Games,1920-08-28,Spain,Denmark,1-0
Olympic Games,1920-08-28,Czechoslovakia,Yugoslavia,7-0
Olympic Games,1920-08-29,Belgium,Spain,3-1
Olympic Games,1920-08-29,France,Italy,3-1
Olympic Games,1920-08-29,Netherlands,Sweden,5-4
Olympic Games,1920-08-29,Czechoslovakia,Norway,4-0
Olympic Games,1920-08-31,Belgium,Netherlands,3-0
Olympic Games,1920-08-31,Czechoslovakia,France,4-1
Olympic Games,1920-08-31,Italy,Norway,2-1
Olympic Games,1920-09-01,Spain,Sweden,2-1
Olympic Games,1920-09-02,Belgium,Czechoslovakia,2-0
Olympic Games,1920-09-02,Spain,Italy,2-0
Olympic Games,1920-09-05,Spain,Netherlands,3-1
Olympic Games,1924-05-25,United States,Estonia,1-0
Olympic Games,1924-05-25,Switzerland,Lithuania,9-0
Olympic Games,1924-05-25,Italy,Spain,1-0
Olympic Games,1924-05-25,Czechoslovakia,Turkey,5-2
Olympic Games,1924-05-26,Uruguay,Yugoslavia,7-0
Olympic Games,1924-05-26,Hungary,Poland,5-0
Olympic Games,1924-05-27,France,Latvia,7-0
Olympic Games,1924-05-27,Netherlands,Romania,6-0
Olympic Games,1924-05-28,Czechoslovakia,Switzerland,1-1
Olympic Games,1924-05-28,Ireland,Bulgaria,1-0
Olympic Games,1924-05-29,Egypt,Hungary,3-0
Olympic Games,1924-05-29,Uruguay,United States,3-0
Olympic Games,1924-05-29,Sweden,Belgium,8-1
Olympic Games,1924-05-29,Italy,Luxembourg,2-0
Olympic Games,1924-05-30,Switzerland,Czechoslovakia,1-0
Olympic Games,1924-06-01,Sweden,Egypt,5-0
Olympic Games,1924-06-01,France,Uruguay,1-5
Olympic Games,1924-06-02,Switzerland,Italy,2-1
Olympic Games,1924-06-02,Netherlands,Ireland,2-1
Olympic Games,1924-06-05,Switzerland,Sweden,2-1
Olympic Games,1924-06-06,Uruguay,Netherlands,2-1
Olympic Games,1924-06-08,Netherlands,Sweden,1-1
Olympic Games,1924-06-09,Uruguay,Switzerland,3-0
Olympic Games,1924-06-09,Sweden,Netherlands,3-1
Olympic Games,1928-05-27,Portugal,Chile,4-2
Olympic Games,1928-05-27,Belgium,Luxembourg,5-3
Olympic Games,1928-05-28,Egypt,Turkey,7-1
Olympic Games,1928-05-28,Germany,Switzerland,4-0
Olympic Games,1928-05-29,Argentina,United States,11-2
Olympic Games,1928-05-29,Italy,France,4-3
Olympic Games,1928-05-29,Portugal,Yugoslavia,2-1
Olympic Games,1928-05-30,Spain,Mexico,7-1
Olympic Games,1928-05-30,Netherlands,Uruguay,0-2
Olympic Games,1928-06-01,Italy,Spain,1-1
Olympic Games,1928-06-02,Argentina,Belgium,6-3
Olympic Games,1928-06-03,Uruguay,Germany,4-1
Olympic Games,1928-06-04,Egypt,Portugal,2-1
Olympic Games,1928-06-04,Italy,Spain,7-1
Olympic Games,1928-06-05,Chile,Mexico,3-1
Olympic Games,1928-06-05,Netherlands,Belgium,3-1
Olympic Games,1928-06-06,Argentina,Egypt,6-0
Olympic Games,1928-06-07,Uruguay,Italy,3-2
Olympic Games,1928-06-08,Netherlands,Chile,2-2
Olympic Games,1928-06-09,Italy,Egypt,11-3
Olympic Games,1928-06-10,Argentina,Uruguay,1-1
Olympic Games,1928-06-13,Uruguay,Argentina,2-1
Olympic Games,1936-08-03,Italy,United States,1-0
Olympic Games,1936-08-03,Norway,Turkey,4-0
Olympic Games,1936-08-04,Japan,Sweden,3-2
Olympic Games,1936-08-04,Germany,Luxembourg,9-0
Olympic Games,1936-08-06,Peru,Finland,7-3
Olympic Games,1936-08-07,Italy,Japan,8-0
Olympic Games,1936-08-07,Germany,Norway,0-2
Olympic Games,1936-08-10,Italy,Norway,2-1
Olympic Games,1936-08-13,Norway,Poland,3-2
Olympic Games,1948-07-26,Luxembourg,Afghanistan,6-0
Olympic Games,1948-07-31,Denmark,Egypt,3-1
Olympic Games,1948-07-31,Yugoslavia,Luxembourg,6-1
Olympic Games,1948-08-02,Turkey,China,4-0
Olympic Games,1948-08-02,South Korea,Mexico,5-3
Olympic Games,1948-08-02,Sweden,Austria,3-0
Olympic Games,1948-08-05,Sweden,South Korea,12-0
Olympic Games,1948-08-05,Denmark,Italy,5-3
Olympic Games,1948-08-05,Yugoslavia,Turkey,3-1
Olympic Games,1948-08-10,Sweden,Denmark,4-2
Olympic Games,1948-08-13,Sweden,Yugoslavia,3-1
Olympic Games,1952-07-15,Yugoslavia,India,10-1
Olympic Games,1952-07-15,Hungary,Romania,2-1
Olympic Games,1952-07-15,Soviet Union,Bulgaria,2-1
Olympic Games,1952-07-15,Denmark,Greece,2-1
Olympic Games,1952-07-20,Soviet Union,Yugoslavia,5-5
Olympic Games,1952-07-21,Hungary,Italy,3-0
Olympic Games,1952-07-21,Sweden,Norway,4-1
Olympic Games,1952-07-21,Denmark,Poland,2-0
Olympic Games,1952-07-22,Yugoslavia,Soviet Union,3-1
Olympic Games,1952-07-25,Yugoslavia,Denmark,5-3
Olympic Games,1952-07-28,Hungary,Sweden,6-0
Olympic Games,1952-08-02,Hungary,Yugoslavia,2-0
Olympic Games,1956-11-27,Australia,Japan,2-0
Olympic Games,1956-11-28,Yugoslavia,United States,9-1
Olympic Games,1956-11-29,Indonesia,Soviet Union,0-0
Olympic Games,1956-12-01,Australia,India,2-4
Olympic Games,1956-12-01,Soviet Union,Indonesia,4-0
Olympic Games,1956-12-04,Yugoslavia,India,4-1
