Matchday,Date,Home,Away,FullTime
Olympic Games qualifier,1956-01-29,Ethiopia,Egypt,1-4
Olympic Games qualifier,1956-04-27,Egypt,Ethiopia,5-2
Olympic Games qualifier,1956-06-03,Japan,South Korea,2-0
Olympic Games qualifier,1956-06-03,South Vietnam,Cambodia,5-2
Olympic Games qualifier,1956-06-10,Japan,South Korea,0-2
Olympic Games qualifier,1956-06-10,Cambodia,South Vietnam,3-4
Olympic Games qualifier,1956-07-11,Soviet Union,Israel,5-0
Olympic Games qualifier,1956-07-31,Israel,Soviet Union,1-2
Olympic Games qualifier,1959-06-26,Iceland,Denmark,2-4
Olympic Games qualifier,1959-07-02,Denmark,Norway,2-1
Olympic Games qualifier,1959-07-07,Iceland,Norway,1-0
Olympic Games qualifier,1959-08-18,Denmark,Iceland,1-1
Olympic Games qualifier,1959-08-21,Norway,Iceland,2-1
Olympic Games qualifier,1959-08-27,Afghanistan,India,2-5
Olympic Games qualifier,1959-08-30,Thailand,Taiwan,1-3
Olympic Games qualifier,1959-09-13,Taiwan,Thailand,3-1
Olympic Games qualifier,1959-10-10,Nigeria,Ghana,3-1
Olympic Games qualifier,1959-10-18,Finland,Poland,1-3
Olympic Games qualifier,1959-10-21,Israel,Yugoslavia,2-2
Olympic Games qualifier,1959-10-25,Ghana,Nigeria,4-1
Olympic Games qualifier,1959-10-25,Netherlands Antilles,Suriname,2-2
Olympic Games qualifier,1959-11-08,Poland,Finland,6-2
Olympic Games qualifier,1959-11-08,Romania,Bulgaria,1-0
Olympic Games qualifier,1959-11-13,United Arab Republic,Ghana,2-1
Olympic Games qualifier,1959-11-14,Uganda,Ethiopia,1-2
Olympic Games qualifier,1959-11-15,Lebanon,Iraq,0-3
Olympic Games qualifier,1959-11-15,Tunisia,Morocco,2-0
Olympic Games qualifier,1959-11-15,Yugoslavia,Greece,4-0
Olympic Games qualifier,1959-11-23,Sudan,Ethiopia,3-1
Olympic Games qualifier,1959-11-25,Iraq,Lebanon,8-0
