Matchday,Date,Home,Away,FullTime
Pan Arab Games,1953-08-01,Syria,Jordan,3-1
Pan Arab Games,1953-08-01,Egypt,Palestine,8-1
Pan Arab Games,1953-08-03,Jordan,Lebanon,4-1
Pan Arab Games,1953-08-03,Libya,Palestine,5-2
Pan Arab Games,1953-08-06,Lebanon,Syria,0-0
Pan Arab Games,1953-08-06,Egypt,Libya,10-2
Pan Arab Games,1953-08-08,Lebanon,Palestine,9-1
Pan Arab Games,1953-08-09,Libya,Jordan,3-2
Pan Arab Games,1953-08-10,Egypt,Syria,4-0
Pan Arab Games,1957-10-18,Lebanon,Saudi Arabia,1-1
Pan Arab Games,1957-10-18,Syria,Jordan,4-0
Pan Arab Games,1957-10-19,Iraq,Morocco,3-3
Pan Arab Games,1957-10-19,Tunisia,Libya,4-3
Pan Arab Games,1957-10-20,Lebanon,Syria,1-1
Pan Arab Games,1957-10-20,Jordan,Saudi Arabia,1-0
Pan Arab Games,1957-10-21,Tunisia,Iraq,4-2
Pan Arab Games,1957-10-21,Morocco,Libya,5-1
Pan Arab Games,1957-10-22,Lebanon,Jordan,6-0
Pan Arab Games,1957-10-22,Saudi Arabia,Syria,3-1
Pan Arab Games,1957-10-23,Iraq,Libya,3-1
Pan Arab Games,1957-10-23,Morocco,Tunisia,3-1
Pan Arab Games,1957-10-26,Lebanon,Tunisia,2-4
Pan Arab Games,1957-10-26,Morocco,Syria,1-1
Pan Arab Games,1957-10-27,Syria,Tunisia,3-1
Pan Arab Games,1961-09-03,Morocco,Lebanon,1-0
Pan Arab Games,1961-09-03,Kuwait,Libya,2-2
Pan Arab Games,1961-09-03,United Arab Republic,Saudi Arabia,13-0
Pan Arab Games,1961-09-04,Lebanon,Saudi Arabia,7-1
Pan Arab Games,1961-09-04,United Arab Republic,Kuwait,8-0
Pan Arab Games,1961-09-04,Morocco,Libya,6-2
Pan Arab Games,1961-09-06,Lebanon,Kuwait,4-0
Pan Arab Games,1961-09-06,Morocco,Saudi Arabia,13-1
Pan Arab Games,1961-09-06,United Arab Republic,Libya,2-1
Pan Arab Games,1961-09-08,United Arab Republic,Lebanon,4-0
Pan Arab Games,1961-09-08,Morocco,Kuwait,3-1
Pan Arab Games,1961-09-08,Libya,Saudi Arabia,5-1
Pan Arab Games,1961-09-10,Libya,Lebanon,3-2
Pan Arab Games,1961-09-10,Saudi Arabia,Kuwait,1-0
Pan Arab Games,1961-09-10,Morocco,United Arab Republic,2-2
Pan Arab Games,1965-09-02,Palestine,Aden,1-0
Pan Arab Games,1965-09-02,Libya,Oman,15-1
Pan Arab Games,1965-09-03,Palestine,Lebanon,1-0
Pan Arab Games,1965-09-03,Egypt,Aden,14-0
Pan Arab Games,1965-09-03,Sudan,Libya,4-2
Pan Arab Games,1965-09-04,Egypt,Lebanon,3-0
Pan Arab Games,1965-09-04,Libya,Syria,6-3
Pan Arab Games,1965-09-04,Iraq,Aden,6-0
Pan Arab Games,1965-09-04,Sudan,Oman,15-0
Pan Arab Games,1965-09-06,Iraq,Lebanon,0-0
Pan Arab Games,1965-09-06,Syria,Oman,13-0
Pan Arab Games,1965-09-06,Egypt,Palestine,2-1
Pan Arab Games,1965-09-07,Lebanon,Aden,4-3
Pan Arab Games,1965-09-07,Sudan,Syria,2-0
Pan Arab Games,1965-09-07,Iraq,Palestine,1-1
Pan Arab Games,1965-09-08,Egypt,Iraq,1-0
Pan Arab Games,1965-09-09,Sudan,Palestine,2-1
Pan Arab Games,1965-09-09,Egypt,Libya,8-1
Pan Arab Games,1965-09-10,Libya,Palestine,4-2
Pan Arab Games,1965-09-11,Egypt,Sudan,2-0
Pan Arab Games,1976-10-07,Syria,Jordan,1-0
Pan Arab Games,1976-10-08,Saudi Arabia,Mauritania,4-1
Pan Arab Games,1976-10-08,Morocco,Palestine,3-0
Pan Arab Games,1976-10-10,Syria,South Yemen,1-2
Pan Arab Games,1976-10-10,Jordan,Mauritania,2-1
Pan Arab Games,1976-10-10,Morocco,Saudi Arabia,0-0
Pan Arab Games,1976-10-12,Morocco,Jordan,3-0
Pan Arab Games,1976-10-12,Saudi Arabia,Palestine,3-1
Pan Arab Games,1976-10-12,South Yemen,Mauritania,2-0
