Matchday,Date,Home,Away,FullTime
Pan Arab Games & Arab Cup,1992-09-04,Syria,Palestine,0-0
Pan Arab Games & Arab Cup,1992-09-08,Egypt,Jordan,1-1
Pan Arab Games & Arab Cup,1992-09-09,Saudi Arabia,Palestine,2-1
Pan Arab Games & Arab Cup,1992-09-10,Kuwait,Jordan,4-1
Pan Arab Games & Arab Cup,1992-09-11,Syria,Saudi Arabia,1-1
Pan Arab Games & Arab Cup,1992-09-12,Egypt,Kuwait,1-0
Pan Arab Games & Arab Cup,1992-09-14,Saudi Arabia,Kuwait,2-0
Pan Arab Games & Arab Cup,1992-09-15,Syria,Egypt,0-0
Pan Arab Games & Arab Cup,1992-09-17,Syria,Kuwait,1-2
Pan Arab Games & Arab Cup,1992-09-18,Egypt,Saudi Arabia,3-2
