Matchday,Date,Home,Away,FullTime
Panamerican Championship,1952-03-16,Chile,Panama,6-1
Panamerican Championship,1952-03-23,Uruguay,Mexico,3-1
Panamerican Championship,1952-03-23,Peru,Panama,7-1
Panamerican Championship,1952-03-26,Chile,Mexico,4-0
Panamerican Championship,1952-03-30,Uruguay,Peru,5-2
Panamerican Championship,1952-04-02,Chile,Peru,3-2
Panamerican Championship,1952-04-06,Brazil,Mexico,2-0
Panamerican Championship,1952-04-06,Uruguay,Panama,6-1
Panamerican Championship,1952-04-10,Mexico,Panama,4-2
Panamerican Championship,1952-04-10,Brazil,Peru,0-0
Panamerican Championship,1952-04-13,Brazil,Panama,5-0
Panamerican Championship,1952-04-13,Chile,Uruguay,2-0
Panamerican Championship,1952-04-16,Brazil,Uruguay,4-2
Panamerican Championship,1952-04-20,Peru,Mexico,3-0
Panamerican Championship,1952-04-20,Chile,Brazil,0-3
Panamerican Championship,1956-02-26,Mexico,Costa Rica,1-1
Panamerican Championship,1956-02-28,Argentina,Peru,0-0
Panamerican Championship,1956-03-01,Brazil,Chile,2-1
Panamerican Championship,1956-03-04,Mexico,Peru,0-2
Panamerican Championship,1956-03-06,Argentina,Costa Rica,4-3
Panamerican Championship,1956-03-06,Brazil,Peru,1-0
Panamerican Championship,1956-03-08,Costa Rica,Chile,2-1
Panamerican Championship,1956-03-08,Mexico,Brazil,1-2
Panamerican Championship,1956-03-11,Argentina,Chile,3-0
Panamerican Championship,1956-03-13,Brazil,Costa Rica,7-1
Panamerican Championship,1956-03-13,Mexico,Argentina,0-0
Panamerican Championship,1956-03-15,Chile,Peru,2-2
Panamerican Championship,1956-03-17,Costa Rica,Peru,4-2
Panamerican Championship,1956-03-17,Mexico,Chile,2-1
Panamerican Championship,1956-03-18,Argentina,Brazil,2-2
Panamerican Championship,1960-03-06,Brazil,Mexico,2-2
Panamerican Championship,1960-03-08,Costa Rica,Argentina,0-0
Panamerican Championship,1960-03-10,Costa Rica,Brazil,3-0
Panamerican Championship,1960-03-10,Argentina,Mexico,3-2
Panamerican Championship,1960-03-13,Costa Rica,Mexico,1-1
Panamerican Championship,1960-03-13,Argentina,Brazil,2-1
Panamerican Championship,1960-03-15,Costa Rica,Argentina,0-2
Panamerican Championship,1960-03-15,Brazil,Mexico,2-1
Panamerican Championship,1960-03-17,Costa Rica,Brazil,0-4
Panamerican Championship,1960-03-17,Argentina,Mexico,2-0
Panamerican Championship,1960-03-19,Costa Rica,Mexico,0-3
Panamerican Championship,1960-03-20,Brazil,Argentina,1-0
