Matchday,Date,Home,Away,FullTime
Panamerican Games,1951-03-05,Costa Rica,Venezuela,3-1
Panamerican Games,1955-03-16,Venezuela,Netherlands Antilles,3-2
Panamerican Games,1955-03-21,Netherlands Antilles,Venezuela,3-1
Panamerican Games,1959-08-28,Haiti,Cuba,8-2
Panamerican Games,1967-07-27,Bermuda,Cuba,1-1
Panamerican Games,1967-07-31,Bermuda,Trinidad and Tobago,3-1
Panamerican Games,1971-07-31,Bermuda,Haiti,1-1
Panamerican Games,1971-08-01,Cuba,Trinidad and Tobago,0-0
Panamerican Games,1971-08-04,Cuba,Jamaica,0-0
Panamerican Games,1971-08-04,Bahamas,Dominican Republic,4-2
Panamerican Games,1971-08-05,Trinidad and Tobago,Jamaica,2-0
Panamerican Games,1971-08-07,Cuba,Trinidad and Tobago,1-0
Panamerican Games,1975-10-14,El Salvador,Nicaragua,4-1
Panamerican Games,1975-10-15,Costa Rica,Nicaragua,5-1
Panamerican Games,1975-10-17,Costa Rica,El Salvador,0-0
Panamerican Games,1975-10-19,Costa Rica,Cuba,1-0
Panamerican Games,1979-07-04,Costa Rica,Bermuda,3-1
Panamerican Games,1979-07-04,Cuba,Guatemala,2-2
Panamerican Games,1979-07-04,Puerto Rico,Dominican Republic,1-0
Panamerican Games,1979-07-12,Puerto Rico,Costa Rica,0-4
Panamerican Games,1983-08-19,Cuba,Guatemala,1-1
Panamerican Games,1987-08-09,United States,Trinidad and Tobago,3-1
Panamerican Games,1987-08-09,Mexico,Guatemala,1-0
Panamerican Games,1987-08-12,United States,El Salvador,0-0
Panamerican Games,1987-08-15,El Salvador,Trinidad and Tobago,1-0
