Matchday,Date,Home,Away,FullTime
World Cup q and CONCACAF Ch,1973-11-29,Honduras,Trinidad and Tobago,2-1
World Cup q and CONCACAF Ch,1973-11-30,Guatemala,Mexico,0-0
World Cup q and CONCACAF Ch,1973-12-01,Haiti,Netherlands Antilles,3-0
World Cup q and CONCACAF Ch,1973-12-03,Honduras,Mexico,1-1
World Cup q and CONCACAF Ch,1973-12-04,Haiti,Trinidad and Tobago,2-1
World Cup q and CONCACAF Ch,1973-12-05,Guatemala,Netherlands Antilles,2-2
World Cup q and CONCACAF Ch,1973-12-07,Haiti,Honduras,1-0
World Cup q and CONCACAF Ch,1973-12-08,Mexico,Netherlands Antilles,8-0
World Cup q and CONCACAF Ch,1973-12-10,Trinidad and Tobago,Guatemala,1-0
World Cup q and CONCACAF Ch,1973-12-12,Honduras,Netherlands Antilles,2-2
World Cup q and CONCACAF Ch,1973-12-13,Haiti,Guatemala,2-1
World Cup q and CONCACAF Ch,1973-12-14,Trinidad and Tobago,Mexico,4-0
World Cup q and CONCACAF Ch,1973-12-15,Guatemala,Honduras,1-1
World Cup q and CONCACAF Ch,1973-12-17,Trinidad and Tobago,Netherlands Antilles,4-0
World Cup q and CONCACAF Ch,1973-12-18,Haiti,Mexico,0-1
World Cup q and CONCACAF Ch,1977-10-08,El Salvador,Canada,2-1
World Cup q and CONCACAF Ch,1977-10-08,Guatemala,Suriname,3-2
World Cup q and CONCACAF Ch,1977-10-09,Mexico,Haiti,4-1
World Cup q and CONCACAF Ch,1977-10-12,Canada,Suriname,2-1
World Cup q and CONCACAF Ch,1977-10-12,Mexico,El Salvador,3-1
World Cup q and CONCACAF Ch,1977-10-12,Haiti,Guatemala,2-1
World Cup q and CONCACAF Ch,1977-10-15,Mexico,Suriname,8-1
World Cup q and CONCACAF Ch,1977-10-16,Canada,Guatemala,2-1
World Cup q and CONCACAF Ch,1977-10-16,Haiti,El Salvador,1-0
World Cup q and CONCACAF Ch,1977-10-19,Mexico,Guatemala,2-1
World Cup q and CONCACAF Ch,1977-10-20,Canada,Haiti,1-1
World Cup q and CONCACAF Ch,1977-10-20,El Salvador,Suriname,3-2
World Cup q and CONCACAF Ch,1977-10-22,Mexico,Canada,3-1
World Cup q and CONCACAF Ch,1977-10-23,El Salvador,Guatemala,2-2
World Cup q and CONCACAF Ch,1977-10-23,Haiti,Suriname,1-0
World Cup q and CONCACAF Ch,1981-11-01,Mexico,Cuba,4-0
World Cup q and CONCACAF Ch,1981-11-02,Canada,El Salvador,1-0
World Cup q and CONCACAF Ch,1981-11-03,Honduras,Haiti,4-0
World Cup q and CONCACAF Ch,1981-11-06,Canada,Haiti,1-1
World Cup q and CONCACAF Ch,1981-11-06,El Salvador,Mexico,1-0
World Cup q and CONCACAF Ch,1981-11-08,Honduras,Cuba,2-0
World Cup q and CONCACAF Ch,1981-11-11,Cuba,El Salvador,0-0
