Matchday,Date,Home,Away,FullTime
World Cup qualifier,1933-06-11,Sweden,Estonia,6-2
World Cup qualifier,1933-06-29,Lithuania,Sweden,0-2
World Cup qualifier,1933-09-24,Yugoslavia,Switzerland,2-2
World Cup qualifier,1933-10-15,Poland,Czechoslovakia,1-2
World Cup qualifier,1933-10-29,Switzerland,Romania,2-2
World Cup qualifier,1934-01-28,Haiti,Cuba,1-3
World Cup qualifier,1934-02-01,Haiti,Cuba,1-1
World Cup qualifier,1934-02-04,Haiti,Cuba,0-6
World Cup qualifier,1934-02-25,Ireland,Belgium,4-4
World Cup qualifier,1934-03-04,Mexico,Cuba,3-2
World Cup qualifier,1934-03-11,Mexico,Cuba,5-0
World Cup qualifier,1934-03-11,Luxembourg,Germany,1-9
World Cup qualifier,1934-03-11,Spain,Portugal,9-0
World Cup qualifier,1934-03-16,Egypt,Palestine,7-1
World Cup qualifier,1934-03-18,Mexico,Cuba,4-1
World Cup qualifier,1934-03-18,Portugal,Spain,1-2
World Cup qualifier,1934-03-25,Bulgaria,Hungary,1-4
World Cup qualifier,1934-03-25,Italy,Greece,4-0
World Cup qualifier,1934-04-06,Palestine,Egypt,1-4
World Cup qualifier,1934-04-08,Netherlands,Ireland,5-2
World Cup qualifier,1934-04-15,Luxembourg,France,1-6
World Cup qualifier,1934-04-25,Austria,Bulgaria,6-1
World Cup qualifier,1934-04-29,Hungary,Bulgaria,4-1
World Cup qualifier,1934-04-29,Belgium,Netherlands,2-4
World Cup qualifier,1934-04-29,Romania,Yugoslavia,2-1
World Cup qualifier,1934-05-24,United States,Mexico,4-2
World Cup qualifier,1937-06-20,Sweden,Estonia,7-2
World Cup qualifier,1937-06-29,Finland,Germany,0-2
World Cup qualifier,1937-07-29,Latvia,Lithuania,4-2
World Cup qualifier,1937-08-19,Finland,Estonia,0-1
World Cup qualifier,1937-08-29,Germany,Estonia,4-1
World Cup qualifier,1937-09-03,Lithuania,Latvia,1-5
World Cup qualifier,1937-10-05,Austria,Latvia,2-1
World Cup qualifier,1937-10-10,Norway,Ireland,3-2
World Cup qualifier,1937-10-10,Poland,Yugoslavia,4-0
World Cup qualifier,1937-11-07,Ireland,Norway,3-3
World Cup qualifier,1937-11-07,Bulgaria,Czechoslovakia,1-1
World Cup qualifier,1937-11-21,Germany,Sweden,5-0
World Cup qualifier,1937-11-28,Netherlands,Luxembourg,4-0
World Cup qualifier,1938-01-22,Palestine,Greece,1-3
World Cup qualifier,1938-02-20,Greece,Palestine,1-0
World Cup qualifier,1938-03-13,Luxembourg,Belgium,2-3
World Cup qualifier,1938-03-25,Hungary,Greece,11-1
World Cup qualifier,1938-04-03,Belgium,Netherlands,1-1
World Cup qualifier,1938-04-03,Yugoslavia,Poland,1-0
World Cup qualifier,1938-04-24,Czechoslovakia,Bulgaria,6-0
World Cup qualifier,1938-05-01,Switzerland,Portugal,2-1
World Cup qualifier,1949-06-02,Sweden,Ireland,3-1
World Cup qualifier,1949-06-26,Switzerland,Luxembourg,5-2
World Cup qualifier,1949-08-21,Yugoslavia,Israel,6-0
World Cup qualifier,1949-09-08,Ireland,Finland,3-0
World Cup qualifier,1949-09-18,Luxembourg,Switzerland,2-3
World Cup qualifier,1949-09-18,Israel,Yugoslavia,2-5
World Cup qualifier,1949-10-09,Yugoslavia,France,1-1
World Cup qualifier,1949-10-09,Finland,Ireland,1-1
World Cup qualifier,1949-10-30,France,Yugoslavia,1-1
World Cup qualifier,1949-11-13,Ireland,Sweden,1-3
World Cup qualifier,1949-11-20,Turkey,Syria,7-0
World Cup qualifier,1949-12-11,Yugoslavia,France,3-2
World Cup qualifier,1950-02-26,Bolivia,Chile,2-0
World Cup qualifier,1950-04-02,Spain,Portugal,5-1
World Cup qualifier,1950-04-09,Portugal,Spain,2-2
