Matchday,Date,Home,Away,FullTime
Lipton Cup,1905-08-15,Argentina,Uruguay,0-0
Lipton Cup,1906-08-15,Uruguay,Argentina,0-2
Newton Cup,1906-10-21,Argentina,Uruguay,2-1
Lipton Cup,1907-08-15,Argentina,Uruguay,2-1
Newton Cup,1907-10-06,Uruguay,Argentina,1-2
Lipton Cup,1908-08-15,Uruguay,Argentina,2-2
Newton Cup,1908-09-13,Argentina,Uruguay,2-1
Copa Premio Honor Argentino,1908-10-04,Argentina,Uruguay,0-1
Lipton Cup,1909-08-15,Argentina,Uruguay,2-1
Newton Cup,1909-09-19,Uruguay,Argentina,2-2
Copa Premio Honor Argentino,1909-10-10,Argentina,Uruguay,3-1
Copa Cent Rev Mayo,1910-05-29,Uruguay,Chile,3-0
Copa Cent Rev Mayo,1910-06-05,Argentina,Chile,5-1
Copa Cent Rev Mayo,1910-06-12,Argentina,Uruguay,4-1
Lipton Cup,1910-08-15,Uruguay,Argentina,3-1
Copa Premio Honor Argentino,1910-11-13,Argentina,Uruguay,1-1
Copa Premio Honor Argentino,1910-11-27,Argentina,Uruguay,2-6
Lipton Cup,1911-08-15,Argentina,Uruguay,0-2
Newton Cup,1911-09-17,Uruguay,Argentina,2-3
Copa Premio Honor Uruguayo,1911-10-08,Uruguay,Argentina,1-1
Copa Premio Honor Argentino,1911-10-22,Argentina,Uruguay,2-0
Copa Premio Honor Uruguayo,1911-10-29,Uruguay,Argentina,3-0
Lipton Cup,1912-08-15,Uruguay,Argentina,2-0
Copa Premio Honor Uruguayo,1912-08-25,Uruguay,Argentina,3-0
Copa Premio Honor Argentino,1912-09-22,Argentina,Uruguay,0-1
Newton Cup,1912-10-06,Argentina,Uruguay,3-3
Montevideo Cup,1912-12-01,Uruguay,Argentina,1-3
Far Eastern Games,1913-02-04,Philippines,China,2-1
Lipton Cup,1913-08-15,Argentina,Uruguay,4-0
Copa Premio Honor Argentino,1913-08-31,Argentina,Uruguay,2-0
Copa Circulo de la Prensa,1913-09-28,Argentina,Uruguay,4-0
Copa Premio Honor Uruguayo,1913-10-05,Uruguay,Argentina,1-0
Newton Cup,1913-10-26,Uruguay,Argentina,1-0
Copa Premio Honor Uruguayo,1914-08-30,Uruguay,Argentina,3-2
Copa Premio Honor Argentino,1914-09-13,Argentina,Uruguay,2-1
Roca Cup,1914-09-27,Argentina,Brazil,0-1
Far Eastern Games,1915-05-17,China,Philippines,1-0
Far Eastern Games,1915-05-18,China,Philippines,0-0
Far Eastern Games,1915-05-20,China,Philippines,1-1
Copa Premio Honor Uruguayo,1915-07-18,Uruguay,Argentina,2-3
Lipton Cup,1915-08-15,Argentina,Uruguay,2-1
Newton Cup,1915-09-12,Uruguay,Argentina,2-0
Newton Cup,1916-08-15,Argentina,Uruguay,3-1
Lipton Cup,1916-08-15,Uruguay,Argentina,1-2
Copa Circulo de la Prensa,1916-10-01,Argentina,Uruguay,7-2
Copa Premio Honor Uruguayo,1916-10-01,Uruguay,Argentina,0-1
Copa Circulo de la Prensa,1916-10-29,Uruguay,Argentina,3-1
Far Eastern Games,1917-05-09,Japan,China,0-5
Far Eastern Games,1917-05-10,Japan,Philippines,2-15
Far Eastern Games,1917-05-11,China,Philippines,3-0
Copa Premio Honor Uruguayo,1917-07-18,Uruguay,Argentina,0-2
Lipton Cup,1917-08-15,Argentina,Uruguay,1-0
Newton Cup,1917-09-02,Uruguay,Argentina,1-0
Copa Premio Honor Uruguayo,1918-07-18,Uruguay,Argentina,1-1
Copa Premio Honor Uruguayo,1918-07-28,Uruguay,Argentina,3-1
Copa Premio Honor Argentino,1918-08-15,Argentina,Uruguay,0-0
Copa Premio Honor Argentino,1918-08-25,Argentina,Uruguay,2-1
Lipton Cup,1918-09-20,Uruguay,Argentina,1-1
Newton Cup,1918-09-29,Argentina,Uruguay,2-0
Far Eastern Games,1919-05-12,Philippines,China,0-2
Far Eastern Games,1919-05-13,Philippines,China,2-1
Far Eastern Games,1919-05-15,Philippines,China,1-2
Copa Premio Honor Uruguayo,1919-07-18,Uruguay,Argentina,4-1
Newton Cup,1919-08-24,Uruguay,Argentina,2-1
Lipton Cup,1919-09-07,Argentina,Uruguay,1-2
Copa Premio Honor Argentino,1919-10-19,Argentina,Uruguay,6-1
Copa Circulo de la Prensa,1919-12-07,Uruguay,Argentina,4-2
Copa Premio Honor Uruguayo,1920-07-18,Uruguay,Argentina,2-0
Newton Cup,1920-07-25,Argentina,Uruguay,1-3
Copa Premio Honor Argentino,1920-08-08,Argentina,Uruguay,1-0
Far Eastern Games,1921-05-30,Philippines,Japan,3-1
Far Eastern Games,1921-05-31,China,Philippines,1-0
Far Eastern Games,1921-06-01,China,Japan,4-0
C American Indep Cent Cup,1921-09-14,Costa Rica,El Salvador,7-0
C American Indep Cent Cup,1921-09-14,Guatemala,Honduras,9-0
C American Indep Cent Cup,1921-09-18,Guatemala,Costa Rica,0-6
King Alexander Cup,1922-06-08,Yugoslavia,Romania,1-2
Roca Cup,1922-10-22,Brazil,Argentina,2-1
Lipton Cup,1922-11-12,Uruguay,Argentina,1-0
Copa Premio Honor Uruguayo,1922-12-10,Uruguay,Argentina,1-0
Newton Cup,1922-12-17,Argentina,Uruguay,2-2
Rosa Chevallier Boutell Cup,1923-05-20,Argentina,Paraguay,0-2
Far Eastern Games,1923-05-22,China,Philippines,3-0
Far Eastern Games,1923-05-23,Japan,Philippines,1-2
Far Eastern Games,1923-05-24,Japan,China,1-5
Rosa Chevallier Boutell Cup,1923-05-25,Argentina,Paraguay,1-0
King Alexander Cup,1923-06-10,Romania,Yugoslavia,1-2
Lipton Cup,1923-06-24,Argentina,Uruguay,0-0
Copa Premio Honor Argentino,1923-07-15,Argentina,Uruguay,2-2
Copa Premio Honor Uruguayo,1923-07-22,Uruguay,Argentina,2-2
Copa Premio Honor Uruguayo,1923-09-30,Uruguay,Argentina,0-2
Roca Cup,1923-12-09,Argentina,Brazil,2-0
Rosa Chevallier Boutell Cup,1924-05-15,Paraguay,Argentina,1-3
Rosa Chevallier Boutell Cup,1924-05-18,Paraguay,Argentina,2-1
Newton Cup,1924-05-25,Argentina,Uruguay,4-0
Newton Cup,1924-05-25,Uruguay,Argentina,2-0
Copa Premio Honor Uruguayo,1924-08-31,Uruguay,Argentina,2-3
Far Eastern Games,1925-05-17,Philippines,Japan,4-0
Far Eastern Games,1925-05-20,China,Japan,2-0
Far Eastern Games,1925-05-22,Philippines,China,1-5
Rosa Chevallier Boutell Cup,1925-07-09,Argentina,Paraguay,1-1
Rosa Chevallier Boutell Cup,1925-07-12,Argentina,Paraguay,1-1
Rosa Chevallier Boutell Cup,1926-05-29,Argentina,Paraguay,2-1
Rosa Chevallier Boutell Cup,1926-06-03,Argentina,Paraguay,2-1
King Alexander Cup,1926-10-03,Yugoslavia,Romania,2-3
Trans-Caucasian Champ,1926-12-31,Azerbaijan,Armenia,4-0
Trans-Caucasian Champ,1926-12-31,Georgia,Armenia,7-0
Trans-Caucasian Champ,1926-12-31,Georgia,Azerbaijan,2-4
King Alexander Cup,1927-05-10,Romania,Yugoslavia,0-3
Newton Cup,1927-07-14,Uruguay,Argentina,0-1
Far Eastern Games,1927-08-27,China,Japan,5-1
Far Eastern Games,1927-08-29,Japan,Philippines,2-1
Lipton Cup,1927-08-30,Argentina,Uruguay,0-1
Far Eastern Games,1927-08-31,China,Philippines,3-1
Trans-Caucasian Champ,1927-12-31,Azerbaijan,Armenia,6-3
Trans-Caucasian Champ,1927-12-31,Georgia,Armenia,1-1
Trans-Caucasian Champ,1927-12-31,Georgia,Azerbaijan,1-1
King Alexander Cup,1928-05-06,Yugoslavia,Romania,3-1
Trans-Caucasian Champ,1928-06-24,Georgia,Armenia,5-1
Trans-Caucasian Champ,1928-06-28,Azerbaijan,Armenia,4-0
Trans-Caucasian Champ,1928-07-01,Georgia,Azerbaijan,6-0
Newton Cup,1928-08-30,Argentina,Uruguay,1-0
Lipton Cup,1928-09-21,Uruguay,Argentina,2-2
King Alexander Cup,1929-05-10,Romania,Yugoslavia,2-3
Newton Cup,1929-09-20,Uruguay,Argentina,2-1
Lipton Cup,1929-09-28,Argentina,Uruguay,0-0
Central American Games,1930-03-16,Cuba,Jamaica,3-1
Central American Games,1930-03-17,Costa Rica,Guatemala,8-1
Central American Games,1930-03-18,Honduras,Jamaica,5-4
Central American Games,1930-03-19,El Salvador,Guatemala,8-2
Central American Games,1930-03-20,Cuba,Honduras,7-0
Central American Games,1930-03-22,Costa Rica,El Salvador,9-2
Central American Games,1930-03-23,Cuba,Honduras,5-0
Central American Games,1930-03-26,Costa Rica,El Salvador,5-0
Central American Games,1930-03-29,Honduras,El Salvador,4-1
Central American Games,1930-03-30,Cuba,Costa Rica,2-1
