Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,PinnacleHomeOpen,PinnacleDrawOpen,PinnacleAwayOpen,AvgHomeOpen,AvgDrawOpen,AvgAwayOpen,MaxHomeOpen,MaxDrawOpen,MaxAwayOpen,Bet365HomeOpen,Bet365DrawOpen,Bet365AwayOpen,Bet365Over25Open,Bet365Under25Open,PinnacleOver25Open,PinnacleUnder25Open,AvgOver25Open,AvgUnder25Open,PinnacleHomeClose,PinnacleDrawClose,PinnacleAwayClose,AvgHomeClose,AvgDrawClose,AvgAwayClose,MaxHomeClose,MaxDrawClose,MaxAwayClose,Bet365HomeClose,Bet365DrawClose,Bet365AwayClose
1,Sat,2004-08-28,Atlético de Madrid,Málaga CF,2-0,1-0,,2,0,H,1,0,H,,,,,,,,,,,,,,,,,,,,,,1.72,3.25,4.33,2.05,1.75,,,,,,,,,,,,,,,,
1,Sat,2004-08-28,Espanyol,Deportivo La Coruña,1-1,1-0,,1,1,D,1,0,H,,,,,,,,,,,,,,,,,,,,,,2.87,3.2,2.4,2.05,1.75,,,,,,,,,,,,,,,,
1,Sat,2004-08-28,Numancia,Bétis,1-1,1-1,,1,1,D,1,1,D,,,,,,,,,,,,,,,,,,,,,,2.5,3.2,2.5,2.1,1.7,,,,,,,,,,,,,,,,
1,Sun,2004-08-29,Mallorca,Real Madrid,0-1,0-0,,0,1,A,0,0,D,,,,,,,,,,,,,,,,,,,,,,5.0,3.4,1.72,1.75,2.05,,,,,,,,,,,,,,,,
1,Sun,2004-08-29,Osasuna,Athletic Bilbao,1-1,1-1,,1,1,D,1,1,D,,,,,,,,,,,,,,,,,,,,,,2.3,3.2,2.7,2.05,1.75,,,,,,,,,,,,,,,,
1,Sun,2004-08-29,Santander,Barcelona,0-2,0-0,,0,2,A,0,0,D,,,,,,,,,,,,,,,,,,,,,,5.0,3.4,1.72,1.85,1.95,,,,,,,,,,,,,,,,
1,Sun,2004-08-29,Sevilha FC,Albacete,1-0,0-0,,1,0,H,0,0,D,,,,,,,,,,,,,,,,,,,,,,1.66,3.4,4.5,2.1,1.7,,,,,,,,,,,,,,,,
1,Sun,2004-08-29,Real Sociedad,Levante,1-1,0-1,,1,1,D,0,1,A,,,,,,,,,,,,,,,,,,,,,,1.72,3.25,4.33,2.0,1.8,,,,,,,,,,,,,,,,
1,Sun,2004-08-29,Real Zaragoza,Getafe CF,3-1,1-1,,3,1,H,1,1,D,,,,,,,,,,,,,,,,,,,,,,1.72,3.25,4.33,2.1,1.7,,,,,,,,,,,,,,,,
1,Mon,2004-08-30,Valencia,Villarreal CF,2-1,2-0,,2,1,H,2,0,H,,,,,,,,,,,,,,,,,,,,,,1.61,3.4,5.0,1.9,1.9,,,,,,,,,,,,,,,,
