Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties
Round 1,Mon,2018-01-22,Montevideo Wanderers (URU),Club Olimpia (PAR),0-0,,
Round 1,Mon,2018-01-22,Macará (ECU),Deportivo Táchira (VEN),1-1,1-0,
Round 1,Mon,2018-01-22,Oriente Petrolero (BOL),Universitario de Deportes (PER),2-0,1-0,
Round 1,Fri,2018-01-26,Club Olimpia (PAR),Montevideo Wanderers (URU),2-0,0-0,
Round 1,Fri,2018-01-26,Deportivo Táchira (VEN),Macará (ECU),0-0,,
Round 1,Fri,2018-01-26,Universitario de Deportes (PER),Oriente Petrolero (BOL),3-1,1-0,
Round 2,Tue,2018-01-30,Carabobo FC (VEN),Guaraní (PAR),1-0,1-0,
Round 2,Tue,2018-01-30,Banfield (ARG),Independiente del Valle (ECU),1-1,0-0,
Round 2,Tue,2018-01-30,Santiago Wanderers (CHI),FBC Melgar (PER),1-1,1-1,
Round 2,Wed,2018-01-31,Chapecoense,Nacional (URU),0-1,0-0,
Round 2,Wed,2018-01-31,Universidad de Concepción (CHI),Vasco da Gama,0-4,0-2,
Round 2,Thu,2018-02-01,Deportivo Táchira (VEN),Santa Fe (COL),2-3,2-2,
Round 2,Thu,2018-02-01,Oriente Petrolero (BOL),Jorge Wilstermann (BOL),1-2,1-0,
Round 2,Thu,2018-02-01,Club Olimpia (PAR),Atlético Junior (COL),1-0,1-0,
Round 2,Tue,2018-02-06,Guaraní (PAR),Carabobo FC (VEN),6-0,2-0,
Round 2,Tue,2018-02-06,Independiente del Valle (ECU),Banfield (ARG),2-2,1-1,
Round 2,Tue,2018-02-06,FBC Melgar (PER),Santiago Wanderers (CHI),0-1,0-1,
Round 2,Wed,2018-02-07,Nacional (URU),Chapecoense,1-0,1-0,
Round 2,Wed,2018-02-07,Vasco da Gama,Universidad de Concepción (CHI),2-0,2-0,
Round 2,Thu,2018-02-08,Santa Fe (COL),Deportivo Táchira (VEN),0-0,,
Round 2,Thu,2018-02-08,Jorge Wilstermann (BOL),Oriente Petrolero (BOL),2-2,2-0,
Round 2,Fri,2018-02-09,Atlético Junior (COL),Club Olimpia (PAR),3-1,1-1,
Round 3,Tue,2018-02-13,Santiago Wanderers (CHI),Santa Fe (COL),1-2,0-2,
