Matchday,Day,Date,Time,Home,Away,FullTime,HalfTime
1,Fri,Aug/8,20.30,Stade de Reims,Paris Saint-Germain,2-2,2-1
1,Sat,Aug/9,21.00,SC Bastia,Olympique Marseille,3-3,1-2
1,Sat,Aug/9,,Évian Thonon Gaillard,SM Caen,0-3,0-3
1,Sat,Aug/9,,EA Guingamp,AS Saint-Étienne,0-2,0-1
1,Sat,Aug/9,,Lille OSC,FC Metz,0-0,
1,Sat,Aug/9,,Montpellier HSC,Girondins Bordeaux,0-1,0-1
1,Sat,Aug/9,,FC Nantes,RC Lens,1-0,0-0
1,Sat,Aug/9,,OGC Nice,Toulouse FC,3-2,1-2
1,Sun,Aug/10,17.00,Olympique Lyonnais,Stade Rennais,2-0,0-0
1,Sun,Aug/10,21.00,AS Monaco,FC Lorient,1-2,0-1
2,Fri,Aug/15,20.30,SM Caen,Lille OSC,0-1,0-0
2,Sat,Aug/16,17.00,Paris Saint-Germain,SC Bastia,2-0,1-0
2,Sat,Aug/16,20.00,RC Lens,EA Guingamp,0-1,0-0
2,Sat,Aug/16,,FC Lorient,OGC Nice,0-0,
2,Sat,Aug/16,,FC Metz,FC Nantes,1-1,1-1
2,Sat,Aug/16,,Stade Rennais,Évian Thonon Gaillard,6-2,3-1
2,Sat,Aug/16,,Toulouse FC,Olympique Lyonnais,2-1,2-0
2,Sun,Aug/17,17.00,Olympique Marseille,Montpellier HSC,0-2,0-1
2,Sun,Aug/17,,AS Saint-Étienne,Stade de Reims,3-1,0-1
2,Sun,Aug/17,21.00,Girondins Bordeaux,AS Monaco,4-1,0-1
3,Fri,Aug/22,20.30,Évian Thonon Gaillard,Paris Saint-Germain,0-0,
3,Sat,Aug/23,17.00,EA Guingamp,Olympique Marseille,0-1,0-0
3,Sat,Aug/23,20.00,SC Bastia,Toulouse FC,1-0,1-0
3,Sat,Aug/23,,Lille OSC,FC Lorient,2-0,0-0
3,Sat,Aug/23,,Montpellier HSC,FC Metz,2-0,1-0
3,Sat,Aug/23,,OGC Nice,Girondins Bordeaux,1-3,1-1
3,Sat,Aug/23,,Stade de Reims,SM Caen,0-2,0-0
3,Sun,Aug/24,14.00,Olympique Lyonnais,RC Lens,0-1,0-1
3,Sun,Aug/24,17.00,AS Saint-Étienne,Stade Rennais,0-0,
3,Sun,Aug/24,21.00,FC Nantes,AS Monaco,0-1,0-1
4,Fri,Aug/29,20.30,Olympique Marseille,OGC Nice,4-0,2-0
4,Sat,Aug/30,17.00,AS Monaco,Lille OSC,1-1,0-1
4,Sat,Aug/30,20.00,SM Caen,Stade Rennais,0-1,0-0
4,Sat,Aug/30,,RC Lens,Stade de Reims,4-2,1-1
4,Sat,Aug/30,,FC Lorient,EA Guingamp,4-0,0-0
4,Sat,Aug/30,,FC Nantes,Montpellier HSC,1-0,0-0
4,Sat,Aug/30,,Toulouse FC,Évian Thonon Gaillard,1-0,0-0
4,Sun,Aug/31,14.00,Girondins Bordeaux,SC Bastia,1-1,0-1
4,Sun,Aug/31,17.00,FC Metz,Olympique Lyonnais,2-1,0-0
4,Sun,Aug/31,21.00,Paris Saint-Germain,AS Saint-Étienne,5-0,2-0
5,Fri,Sep/12,20.30,Olympique Lyonnais,AS Monaco,2-1,1-1
5,Sat,Sep/13,17.00,Stade Rennais,Paris Saint-Germain,1-1,0-1
5,Sat,Sep/13,20.00,SC Bastia,RC Lens,1-1,0-1
5,Sat,Sep/13,,Montpellier HSC,FC Lorient,1-0,1-0
5,Sat,Sep/13,,OGC Nice,FC Metz,1-0,0-0
5,Sat,Sep/13,,Stade de Reims,Toulouse FC,2-0,1-0
5,Sat,Sep/13,,AS Saint-Étienne,SM Caen,1-0,0-0
5,Sun,Sep/14,14.00,Lille OSC,FC Nantes,2-0,0-0
5,Sun,Sep/14,17.00,EA Guingamp,Girondins Bordeaux,2-1,2-0
5,Sun,Sep/14,21.00,Évian Thonon Gaillard,Olympique Marseille,1-3,0-2
6,Fri,Sep/19,20.30,Girondins Bordeaux,Évian Thonon Gaillard,2-1,1-0
6,Sat,Sep/20,17.00,Olympique Marseille,Stade Rennais,3-0,0-0
6,Sat,Sep/20,20.00,FC Lorient,Stade de Reims,0-1,0-0
6,Sat,Sep/20,,FC Metz,SC Bastia,3-1,1-1
6,Sat,Sep/20,,FC Nantes,OGC Nice,2-1,2-0
6,Sat,Sep/20,,Toulouse FC,SM Caen,3-3,1-1
6,Sun,Sep/21,14.00,Lille OSC,Montpellier HSC,0-0,
6,Sun,Sep/21,17.00,RC Lens,AS Saint-Étienne,0-1,0-0
6,Sun,Sep/21,,AS Monaco,EA Guingamp,1-0,1-0
6,Sun,Sep/21,21.00,Paris Saint-Germain,Olympique Lyonnais,1-1,1-0
7,Tue,Sep/23,19.00,Stade de Reims,Olympique Marseille,0-5,0-2
7,Tue,Sep/23,21.00,Stade Rennais,Toulouse FC,0-3,0-1
7,Wed,Sep/24,19.00,SC Bastia,FC Nantes,0-0,
7,Wed,Sep/24,,Évian Thonon Gaillard,RC Lens,2-1,2-0
7,Wed,Sep/24,,EA Guingamp,FC Metz,0-1,0-1
7,Wed,Sep/24,,Olympique Lyonnais,FC Lorient,4-0,2-0
7,Wed,Sep/24,,Montpellier HSC,AS Monaco,0-1,0-0
7,Wed,Sep/24,,OGC Nice,Lille OSC,1-0,1-0
7,Wed,Sep/24,21.00,SM Caen,Paris Saint-Germain,0-2,0-1
7,Thu,Sep/25,21.00,AS Saint-Étienne,Girondins Bordeaux,1-1,1-1
8,Sat,Sep/27,14.00,AS Monaco,OGC Nice,0-1,0-1
8,Sat,Sep/27,17.00,Toulouse FC,Paris Saint-Germain,1-1,1-1
8,Sat,Sep/27,20.00,Lille OSC,SC Bastia,1-0,1-0
8,Sat,Sep/27,,FC Lorient,Évian Thonon Gaillard,0-2,0-1
8,Sat,Sep/27,,FC Metz,Stade de Reims,3-0,0-0
8,Sat,Sep/27,,Montpellier HSC,EA Guingamp,2-1,0-0
8,Sun,Sep/28,14.00,Girondins Bordeaux,Stade Rennais,2-1,0-0
8,Sun,Sep/28,17.00,RC Lens,SM Caen,0-0,
8,Sun,Sep/28,,FC Nantes,Olympique Lyonnais,1-1,0-0
8,Sun,Sep/28,21.00,Olympique Marseille,AS Saint-Étienne,2-1,2-0
9,Fri,Oct/3,20.30,Stade de Reims,Girondins Bordeaux,1-0,1-0
9,Sat,Oct/4,17.00,SM Caen,Olympique Marseille,1-2,0-0
9,Sat,Oct/4,20.00,SC Bastia,FC Lorient,0-2,0-0
9,Sat,Oct/4,,Évian Thonon Gaillard,FC Metz,3-0,0-0
9,Sat,Oct/4,,OGC Nice,Montpellier HSC,1-1,0-0
9,Sat,Oct/4,,Stade Rennais,RC Lens,2-0,0-0
9,Sun,Oct/5,14.00,AS Saint-Étienne,Toulouse FC,0-1,0-1
9,Sun,Oct/5,17.00,EA Guingamp,FC Nantes,0-1,0-1
9,Sun,Oct/5,,Olympique Lyonnais,Lille OSC,3-0,2-0
9,Sun,Oct/5,21.00,Paris Saint-Germain,AS Monaco,1-1,0-0
10,Fri,Oct/17,20.30,RC Lens,Paris Saint-Germain,1-3,1-2
10,Sat,Oct/18,17.00,FC Lorient,AS Saint-Étienne,0-1,0-0
10,Sat,Oct/18,20.00,Lille OSC,EA Guingamp,1-2,0-1
10,Sat,Oct/18,,FC Metz,Stade Rennais,0-0,
10,Sat,Oct/18,,AS Monaco,Évian Thonon Gaillard,2-0,1-0
10,Sat,Oct/18,,FC Nantes,Stade de Reims,1-1,1-0
