Matchday,Day,Date,Home,Away,FullTime,HalfTime
1,Fri,2017-08-04,AS Monaco,Toulouse FC,3-2,1-1
1,Sat,2017-08-05,Paris Saint-Germain,Amiens SC,2-0,1-0
1,Sat,2017-08-05,AS Saint-Étienne,OGC Nice,1-0,1-0
1,Sat,2017-08-05,ESTAC Troyes,Stade Rennais,1-1,0-0
1,Sat,2017-08-05,FC Metz,EA Guingamp,1-3,1-1
1,Sat,2017-08-05,Montpellier HSC,SM Caen,1-0,0-0
1,Sat,2017-08-05,Olympique Lyonnais,RC Strasbourg,4-0,1-0
1,Sun,2017-08-06,Lille OSC,FC Nantes,3-0,0-0
1,Sun,2017-08-06,Angers SCO,Girondins Bordeaux,2-2,1-1
1,Sun,2017-08-06,Olympique Marseille,Dijon FCO,3-0,0-0
2,Fri,2017-08-11,OGC Nice,ESTAC Troyes,1-2,0-0
2,Fri,2017-08-11,Stade Rennais,Olympique Lyonnais,1-2,0-0
2,Sat,2017-08-12,FC Nantes,Olympique Marseille,0-1,0-0
2,Sat,2017-08-12,Toulouse FC,Montpellier HSC,1-0,1-0
2,Sat,2017-08-12,Girondins Bordeaux,FC Metz,2-0,1-0
2,Sat,2017-08-12,Amiens SC,Angers SCO,0-2,0-1
2,Sat,2017-08-12,SM Caen,AS Saint-Étienne,0-1,0-0
2,Sun,2017-08-13,RC Strasbourg,Lille OSC,3-0,0-0
2,Sun,2017-08-13,Dijon FCO,AS Monaco,1-4,1-3
2,Sun,2017-08-13,EA Guingamp,Paris Saint-Germain,0-3,0-0
3,Fri,2017-08-18,FC Metz,AS Monaco,0-1,0-0
3,Sat,2017-08-19,Olympique Lyonnais,Girondins Bordeaux,3-3,2-1
3,Sat,2017-08-19,AS Saint-Étienne,Amiens SC,3-0,2-0
3,Sat,2017-08-19,ESTAC Troyes,FC Nantes,0-1,0-0
3,Sat,2017-08-19,Montpellier HSC,RC Strasbourg,1-1,0-1
3,Sat,2017-08-19,OGC Nice,EA Guingamp,2-0,1-0
3,Sat,2017-08-19,Stade Rennais,Dijon FCO,2-2,1-0
3,Sun,2017-08-20,Lille OSC,SM Caen,0-2,0-1
3,Sun,2017-08-20,Olympique Marseille,Angers SCO,1-1,1-0
3,Sun,2017-08-20,Paris Saint-Germain,Toulouse FC,6-2,2-1
4,Fri,2017-08-25,Paris Saint-Germain,AS Saint-Étienne,3-0,1-0
4,Sat,2017-08-26,FC Nantes,Olympique Lyonnais,0-0,
4,Sat,2017-08-26,Dijon FCO,Montpellier HSC,2-1,1-0
4,Sat,2017-08-26,Toulouse FC,Stade Rennais,3-2,1-1
4,Sat,2017-08-26,Girondins Bordeaux,ESTAC Troyes,2-1,1-0
4,Sat,2017-08-26,Amiens SC,OGC Nice,3-0,2-0
4,Sat,2017-08-26,SM Caen,FC Metz,1-0,0-0
4,Sun,2017-08-27,EA Guingamp,RC Strasbourg,2-0,0-0
4,Sun,2017-08-27,Angers SCO,Lille OSC,1-1,0-0
4,Sun,2017-08-27,AS Monaco,Olympique Marseille,6-1,4-0
5,Fri,2017-09-08,Lille OSC,Girondins Bordeaux,0-0,
5,Fri,2017-09-08,FC Metz,Paris Saint-Germain,1-5,1-1
5,Sat,2017-09-09,OGC Nice,AS Monaco,4-0,2-0
5,Sat,2017-09-09,ESTAC Troyes,Toulouse FC,0-0,
5,Sat,2017-09-09,Montpellier HSC,FC Nantes,0-1,0-0
5,Sat,2017-09-09,RC Strasbourg,Amiens SC,0-1,0-1
5,Sat,2017-09-09,SM Caen,Dijon FCO,2-1,1-1
5,Sun,2017-09-10,AS Saint-Étienne,Angers SCO,1-1,1-1
5,Sun,2017-09-10,Olympique Lyonnais,EA Guingamp,2-1,1-0
5,Sun,2017-09-10,Olympique Marseille,Stade Rennais,1-3,0-2
