Matchday,Day,Date,Home,Away,FullTime,HalfTime
1,Sat,2016-08-20,Roma,Udinese,4-0,0-0
1,Sat,2016-08-20,Juventus FC,Fiorentina,2-1,1-0
1,Sun,2016-08-21,AC Milan,Torino,3-2,1-0
1,Sun,2016-08-21,Atalanta,Lazio,3-4,0-3
1,Sun,2016-08-21,Bologna FC,FC Crotone,1-0,0-0
1,Sun,2016-08-21,Chievo Verona,Inter de Milão,2-0,0-0
1,Sun,2016-08-21,Empoli FC,Sampdoria,0-1,0-1
1,Sun,2016-08-21,Genoa CFC,Cagliari,3-1,0-0
1,Sun,2016-08-21,US Palermo,Sassuolo,0-1,0-1
1,Sun,2016-08-21,Delfino Pescara,Napoli,2-2,2-0
2,Sat,2016-08-27,Lazio,Juventus FC,0-1,0-0
2,Sat,2016-08-27,Napoli,AC Milan,4-2,2-0
2,Sun,2016-08-28,Inter de Milão,US Palermo,1-1,0-0
2,Sun,2016-08-28,Cagliari,Roma,2-2,0-1
2,Sun,2016-08-28,FC Crotone,Genoa CFC,1-3,1-0
2,Sun,2016-08-28,Fiorentina,Chievo Verona,1-0,1-0
2,Sun,2016-08-28,Sampdoria,Atalanta,2-1,2-1
2,Sun,2016-08-28,Sassuolo,Delfino Pescara,0-3,
2,Sun,2016-08-28,Torino,Bologna FC,5-1,2-1
2,Sun,2016-08-28,Udinese,Empoli FC,2-0,1-0
3,Sat,2016-09-10,Juventus FC,Sassuolo,3-1,3-1
3,Sat,2016-09-10,US Palermo,Napoli,0-3,0-0
3,Sun,2016-09-11,Bologna FC,Cagliari,2-1,1-0
3,Sun,2016-09-11,Atalanta,Torino,2-1,0-0
3,Sun,2016-09-11,Chievo Verona,Lazio,1-1,0-0
3,Sun,2016-09-11,AC Milan,Udinese,0-1,0-0
3,Sun,2016-09-11,Roma,Sampdoria,3-2,1-2
3,Sun,2016-09-11,Delfino Pescara,Inter de Milão,1-2,0-0
3,Mon,2016-09-12,Empoli FC,FC Crotone,2-1,1-1
3,Thu,2016-12-15,Genoa CFC,Fiorentina,1-0,1-0
4,Fri,2016-09-16,Sampdoria,AC Milan,0-1,0-0
4,Sat,2016-09-17,Lazio,Delfino Pescara,3-0,0-0
4,Sat,2016-09-17,Napoli,Bologna FC,3-1,1-0
4,Sun,2016-09-18,Udinese,Chievo Verona,1-2,1-0
4,Sun,2016-09-18,Cagliari,Atalanta,3-0,1-0
4,Sun,2016-09-18,FC Crotone,US Palermo,1-1,1-0
4,Sun,2016-09-18,Sassuolo,Genoa CFC,2-0,0-0
4,Sun,2016-09-18,Torino,Empoli FC,0-0,
4,Sun,2016-09-18,Inter de Milão,Juventus FC,2-1,0-0
4,Sun,2016-09-18,Fiorentina,Roma,1-0,0-0
5,Tue,2016-09-20,AC Milan,Lazio,2-0,1-0
5,Wed,2016-09-21,Bologna FC,Sampdoria,2-0,1-0
5,Wed,2016-09-21,Atalanta,US Palermo,0-1,0-0
5,Wed,2016-09-21,Chievo Verona,Sassuolo,2-1,2-1
5,Wed,2016-09-21,Empoli FC,Inter de Milão,0-2,0-2
5,Wed,2016-09-21,Genoa CFC,Napoli,0-0,
5,Wed,2016-09-21,Juventus FC,Cagliari,4-0,3-0
5,Wed,2016-09-21,Delfino Pescara,Torino,0-0,
5,Wed,2016-09-21,Roma,FC Crotone,4-0,2-0
5,Wed,2016-09-21,Udinese,Fiorentina,2-2,2-1
6,Sat,2016-09-24,US Palermo,Juventus FC,0-1,0-0
6,Sat,2016-09-24,Napoli,Chievo Verona,2-0,2-0
6,Sun,2016-09-25,Torino,Roma,3-1,1-0
6,Sun,2016-09-25,Genoa CFC,Delfino Pescara,1-1,0-0
6,Sun,2016-09-25,Inter de Milão,Bologna FC,1-1,1-1
6,Sun,2016-09-25,Lazio,Empoli FC,2-0,1-0
6,Sun,2016-09-25,Sassuolo,Udinese,1-0,1-0
6,Sun,2016-09-25,Fiorentina,AC Milan,0-0,
6,Mon,2016-09-26,FC Crotone,Atalanta,1-3,0-3
6,Mon,2016-09-26,Cagliari,Sampdoria,2-1,1-0
7,Sat,2016-10-01,Delfino Pescara,Chievo Verona,0-2,0-0
7,Sat,2016-10-01,Udinese,Lazio,0-3,0-1
7,Sun,2016-10-02,Empoli FC,Juventus FC,0-3,0-0
7,Sun,2016-10-02,Atalanta,Napoli,1-0,1-0
7,Sun,2016-10-02,Bologna FC,Genoa CFC,0-1,0-0
7,Sun,2016-10-02,Cagliari,FC Crotone,2-1,1-0
7,Sun,2016-10-02,Sampdoria,US Palermo,1-1,0-0
