Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,PinnacleHomeOpen,PinnacleDrawOpen,PinnacleAwayOpen,AvgHomeOpen,AvgDrawOpen,AvgAwayOpen,MaxHomeOpen,MaxDrawOpen,MaxAwayOpen,Bet365HomeOpen,Bet365DrawOpen,Bet365AwayOpen,Bet365Over25Open,Bet365Under25Open,PinnacleOver25Open,PinnacleUnder25Open,AvgOver25Open,AvgUnder25Open,PinnacleHomeClose,PinnacleDrawClose,PinnacleAwayClose,AvgHomeClose,AvgDrawClose,AvgAwayClose,MaxHomeClose,MaxDrawClose,MaxAwayClose,Bet365HomeClose,Bet365DrawClose,Bet365AwayClose
1,Sat,2020-09-19,Fiorentina,Torino,1-0,0-0,,1,0,H,0,0,D,17,6,8,3,17,20,4,1,3,1,0,0,1.87,3.81,4.24,1.87,3.69,4.13,1.94,3.85,4.6,1.83,3.75,4.2,1.8,2.0,1.85,2.05,1.81,2.02,1.84,3.9,4.45,1.85,3.76,4.18,,,,,,
1,Sat,2020-09-19,Hellas Verona,Roma,0-0,0-0,,0,0,D,0,0,D,9,15,7,7,19,20,0,6,2,0,0,0,3.95,3.81,1.94,3.82,3.65,1.96,4.0,3.81,2.08,3.75,3.5,1.95,1.8,2.0,1.81,2.1,1.79,2.03,4.88,3.83,1.79,4.54,3.86,1.76,,,,,,
1,Sun,2020-09-20,Genoa CFC,FC Crotone,4-1,3-1,,4,1,H,3,1,H,10,11,8,5,13,14,6,4,4,2,0,0,1.93,3.69,4.15,1.91,3.59,4.03,1.98,3.8,4.35,1.9,3.6,4.0,1.9,1.9,1.97,1.93,1.91,1.89,2.53,3.26,3.13,2.46,3.23,3.04,,,,,,
1,Sun,2020-09-20,Juventus FC,Sampdoria,3-0,1-0,,3,0,H,1,0,H,14,10,9,2,15,9,6,4,1,1,0,0,1.28,6.09,11.4,1.28,5.86,10.22,1.32,6.25,12.25,1.28,5.5,10.5,1.57,2.37,1.57,2.54,1.55,2.45,1.49,4.42,7.77,1.44,4.55,7.75,,,,,,
1,Sun,2020-09-20,Parma Calcio 1913,Napoli,0-2,0-0,,0,2,A,0,0,D,4,12,2,7,16,12,4,2,4,1,0,0,5.22,4.29,1.64,5.13,4.16,1.63,5.8,4.52,1.67,5.25,4.2,1.61,1.61,2.3,1.65,2.36,1.62,2.29,7.77,4.83,1.45,6.83,4.56,1.47,,,,,,
1,Sun,2020-09-20,Sassuolo,Cagliari,1-1,0-0,,1,1,D,0,0,D,21,8,10,4,9,18,7,3,1,3,0,0,1.95,3.92,3.81,1.95,3.8,3.67,2.0,3.98,3.98,1.95,3.75,3.75,1.57,2.37,1.62,2.42,1.59,2.36,1.67,4.3,5.2,1.67,4.16,4.83,,,,,,
1,Mon,2020-09-21,AC Milan,Bologna FC,2-0,1-0,,2,0,H,1,0,H,14,6,6,5,13,17,7,4,3,5,0,1,1.6,4.32,5.68,1.58,4.31,5.48,1.63,4.6,6.0,1.57,4.33,5.5,1.57,2.37,1.62,2.42,1.59,2.36,1.49,4.72,6.97,1.48,4.67,6.4,,,,,,
1,Wed,2020-09-30,Benevento Calcio,Inter de Milão,2-5,1-4,,2,5,A,1,4,A,11,18,7,12,10,15,5,1,1,0,0,0,8.84,5.44,1.35,8.28,5.19,1.36,9.1,5.55,1.4,9.0,4.75,1.36,1.53,2.5,1.53,2.64,1.52,2.5,10.03,5.83,1.32,9.04,5.49,1.32,,,,,,
1,Wed,2020-09-30,Lazio,Atalanta,1-4,0-3,,1,4,A,0,3,A,11,8,8,6,16,11,7,3,7,2,0,0,2.62,3.84,2.56,2.57,3.71,2.55,2.7,3.92,2.66,2.55,3.5,2.55,1.53,2.5,1.52,2.67,1.51,2.54,2.62,3.64,2.73,2.58,3.63,2.59,,,,,,
1,Wed,2020-09-30,Udinese,Spezia,0-2,0-1,,0,2,A,0,1,A,10,4,5,3,13,17,2,2,0,5,0,1,1.63,3.95,6.05,1.63,3.84,5.68,1.71,4.0,6.2,1.6,3.75,5.75,2.0,1.8,2.03,1.86,1.98,1.83,1.84,3.54,5.04,1.81,3.5,4.75,,,,,,
