data_extracao,campeonato,partida,casa,fora,data_hora,mercado,selecao,linha,odd,url_evento,url_liga
2025-11-22T02:36:14.762555+00:00,Brasileirão - Série A Betano,São Paulo x Juventude-RS,São Paulo,Juventude-RS,2025-11-23T19:00:00Z,1X2,1,,1.55,https://www.betano.bet.br/odds/sao-paulo-juventude-rs/76062180/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2025-11-22T02:36:14.762590+00:00,Brasileirão - Série A Betano,São Paulo x Juventude-RS,São Paulo,Juventude-RS,2025-11-23T19:00:00Z,1X2,X,,4.0,https://www.betano.bet.br/odds/sao-paulo-juventude-rs/76062180/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2025-11-22T02:36:14.762604+00:00,Brasileirão - Série A Betano,São Paulo x Juventude-RS,São Paulo,Juventude-RS,2025-11-23T19:00:00Z,1X2,2,,6.4,https://www.betano.bet.br/odds/sao-paulo-juventude-rs/76062180/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2025-11-22T02:36:23.714597+00:00,Brasileirão - Série A Betano,Cruzeiro x Corinthians,Cruzeiro,Corinthians,2025-11-23T23:30:00Z,1X2,1,,1.83,https://www.betano.bet.br/odds/cruzeiro-corinthians/76062196/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2025-11-22T02:36:23.714623+00:00,Brasileirão - Série A Betano,Cruzeiro x Corinthians,Cruzeiro,Corinthians,2025-11-23T23:30:00Z,1X2,X,,3.4,https://www.betano.bet.br/odds/cruzeiro-corinthians/76062196/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2025-11-22T02:36:23.714636+00:00,Brasileirão - Série A Betano,Cruzeiro x Corinthians,Cruzeiro,Corinthians,2025-11-23T23:30:00Z,1X2,2,,4.75,https://www.betano.bet.br/odds/cruzeiro-corinthians/76062196/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2025-11-22T02:36:44.407462+00:00,Brasileirão - Série B,Amazonas AM x Coritiba,Amazonas AM,Coritiba,2025-11-23T19:30:00Z,1X2,1,,4.05,https://www.betano.bet.br/odds/amazonas-am-coritiba/76404080/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-22T02:36:44.407503+00:00,Brasileirão - Série B,Amazonas AM x Coritiba,Amazonas AM,Coritiba,2025-11-23T19:30:00Z,1X2,X,,3.15,https://www.betano.bet.br/odds/amazonas-am-coritiba/76404080/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-22T02:36:44.407534+00:00,Brasileirão - Série B,Amazonas AM x Coritiba,Amazonas AM,Coritiba,2025-11-23T19:30:00Z,1X2,2,,2.02,https://www.betano.bet.br/odds/amazonas-am-coritiba/76404080/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-22T02:36:53.110844+00:00,Brasileirão - Série B,Operário-PR x Ferroviária,Operário-PR,Ferroviária,2025-11-23T19:30:00Z,1X2,1,,2.7,https://www.betano.bet.br/odds/operario-pr-ferroviaria/76404554/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-22T02:36:53.110872+00:00,Brasileirão - Série B,Operário-PR x Ferroviária,Operário-PR,Ferroviária,2025-11-23T19:30:00Z,1X2,X,,3.25,https://www.betano.bet.br/odds/operario-pr-ferroviaria/76404554/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-22T02:36:53.110884+00:00,Brasileirão - Série B,Operário-PR x Ferroviária,Operário-PR,Ferroviária,2025-11-23T19:30:00Z,1X2,2,,2.62,https://www.betano.bet.br/odds/operario-pr-ferroviaria/76404554/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-22T02:37:15.001888+00:00,Premier League,Leeds United x Aston Villa,Leeds United,Aston Villa,2025-11-23T14:00:00Z,1X2,1,,2.92,https://www.betano.bet.br/odds/leeds-united-aston-villa/75650826/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-22T02:37:15.001913+00:00,Premier League,Leeds United x Aston Villa,Leeds United,Aston Villa,2025-11-23T14:00:00Z,1X2,X,,3.25,https://www.betano.bet.br/odds/leeds-united-aston-villa/75650826/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-22T02:37:15.001926+00:00,Premier League,Leeds United x Aston Villa,Leeds United,Aston Villa,2025-11-23T14:00:00Z,1X2,2,,2.5,https://www.betano.bet.br/odds/leeds-united-aston-villa/75650826/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-22T02:37:24.588446+00:00,Premier League,Burnley x Chelsea,Burnley,Chelsea,2025-11-22T12:30:00Z,1X2,1,,6.6,https://www.betano.bet.br/odds/burnley-chelsea/75650756/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-22T02:37:24.588484+00:00,Premier League,Burnley x Chelsea,Burnley,Chelsea,2025-11-22T12:30:00Z,1X2,X,,4.55,https://www.betano.bet.br/odds/burnley-chelsea/75650756/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-22T02:37:24.588503+00:00,Premier League,Burnley x Chelsea,Burnley,Chelsea,2025-11-22T12:30:00Z,1X2,2,,1.53,https://www.betano.bet.br/odds/burnley-chelsea/75650756/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-22T02:37:40.622426+00:00,LaLiga,Bétis x Girona FC,Bétis,Girona FC,2025-11-23T15:15:00Z,1X2,1,,1.57,https://www.betano.bet.br/odds/betis-girona-fc/72562953/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-11-22T02:37:40.622447+00:00,LaLiga,Bétis x Girona FC,Bétis,Girona FC,2025-11-23T15:15:00Z,1X2,X,,4.5,https://www.betano.bet.br/odds/betis-girona-fc/72562953/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-11-22T02:37:40.622459+00:00,LaLiga,Bétis x Girona FC,Bétis,Girona FC,2025-11-23T15:15:00Z,1X2,2,,5.3,https://www.betano.bet.br/odds/betis-girona-fc/72562953/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-11-22T02:37:49.899451+00:00,LaLiga,Real Oviedo x Rayo Vallecano,Real Oviedo,Rayo Vallecano,2025-11-23T13:00:00Z,1X2,1,,3.45,https://www.betano.bet.br/odds/real-oviedo-rayo-vallecano/72562958/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-11-22T02:37:49.899477+00:00,LaLiga,Real Oviedo x Rayo Vallecano,Real Oviedo,Rayo Vallecano,2025-11-23T13:00:00Z,1X2,X,,3.25,https://www.betano.bet.br/odds/real-oviedo-rayo-vallecano/72562958/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-11-22T02:37:49.899489+00:00,LaLiga,Real Oviedo x Rayo Vallecano,Real Oviedo,Rayo Vallecano,2025-11-23T13:00:00Z,1X2,2,,2.22,https://www.betano.bet.br/odds/real-oviedo-rayo-vallecano/72562958/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-11-22T02:38:05.442101+00:00,Série A,Inter de Milão x AC Milan,Inter de Milão,AC Milan,2025-11-23T19:45:00Z,1X2,1,,1.98,https://www.betano.bet.br/odds/inter-de-milao-ac-milan/75691420/,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
2025-11-22T02:38:05.442131+00:00,Série A,Inter de Milão x AC Milan,Inter de Milão,AC Milan,2025-11-23T19:45:00Z,1X2,X,,3.4,https://www.betano.bet.br/odds/inter-de-milao-ac-milan/75691420/,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
2025-11-22T02:38:05.442145+00:00,Série A,Inter de Milão x AC Milan,Inter de Milão,AC Milan,2025-11-23T19:45:00Z,1X2,2,,4.0,https://www.betano.bet.br/odds/inter-de-milao-ac-milan/75691420/,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
