data_extracao,campeonato,partida,casa,fora,data_hora,mercado,selecao,linha,odd,url_evento,url_liga
2025-11-07T02:53:05.595294+00:00,Brasileirão - Série A Betano,Vasco da Gama x Juventude-RS,Vasco da Gama,Juventude-RS,2025-11-08T21:00:00Z,1X2,1,,1.47,https://www.betano.bet.br/odds/vasco-da-gama-juventude-rs/75663014/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2025-11-07T02:53:05.595323+00:00,Brasileirão - Série A Betano,Vasco da Gama x Juventude-RS,Vasco da Gama,Juventude-RS,2025-11-08T21:00:00Z,1X2,X,,4.45,https://www.betano.bet.br/odds/vasco-da-gama-juventude-rs/75663014/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2025-11-07T02:53:05.595334+00:00,Brasileirão - Série A Betano,Vasco da Gama x Juventude-RS,Vasco da Gama,Juventude-RS,2025-11-08T21:00:00Z,1X2,2,,7.4,https://www.betano.bet.br/odds/vasco-da-gama-juventude-rs/75663014/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2025-11-07T02:53:09.486063+00:00,Brasileirão - Série A Betano,Vasco da Gama x Juventude-RS,Vasco da Gama,Juventude-RS,2025-11-08T21:00:00Z,Total de Gols,Over,2.5,1.75,https://www.betano.bet.br/odds/vasco-da-gama-juventude-rs/75663014/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2025-11-07T02:53:09.486088+00:00,Brasileirão - Série A Betano,Vasco da Gama x Juventude-RS,Vasco da Gama,Juventude-RS,2025-11-08T21:00:00Z,Total de Gols,Under,2.5,2.07,https://www.betano.bet.br/odds/vasco-da-gama-juventude-rs/75663014/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2025-11-07T02:53:14.073888+00:00,Brasileirão - Série A Betano,Sport Recife x Atlético-MG,Sport Recife,Atlético-MG,2025-11-08T19:00:00Z,1X2,1,,3.75,https://www.betano.bet.br/odds/sport-recife-atletico-mg/75662920/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2025-11-07T02:53:14.073913+00:00,Brasileirão - Série A Betano,Sport Recife x Atlético-MG,Sport Recife,Atlético-MG,2025-11-08T19:00:00Z,1X2,X,,3.1,https://www.betano.bet.br/odds/sport-recife-atletico-mg/75662920/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2025-11-07T02:53:14.073923+00:00,Brasileirão - Série A Betano,Sport Recife x Atlético-MG,Sport Recife,Atlético-MG,2025-11-08T19:00:00Z,1X2,2,,2.22,https://www.betano.bet.br/odds/sport-recife-atletico-mg/75662920/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2025-11-07T02:53:18.246236+00:00,Brasileirão - Série A Betano,Sport Recife x Atlético-MG,Sport Recife,Atlético-MG,2025-11-08T19:00:00Z,Total de Gols,Over,2.5,2.25,https://www.betano.bet.br/odds/sport-recife-atletico-mg/75662920/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2025-11-07T02:53:18.246272+00:00,Brasileirão - Série A Betano,Sport Recife x Atlético-MG,Sport Recife,Atlético-MG,2025-11-08T19:00:00Z,Total de Gols,Under,2.5,1.65,https://www.betano.bet.br/odds/sport-recife-atletico-mg/75662920/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2025-11-07T02:53:22.845691+00:00,Brasileirão - Série A Betano,São Paulo x Bragantino,São Paulo,Bragantino,2025-11-09T00:00:00Z,1X2,1,,1.72,https://www.betano.bet.br/odds/sao-paulo-bragantino/75663148/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2025-11-07T02:53:22.845718+00:00,Brasileirão - Série A Betano,São Paulo x Bragantino,São Paulo,Bragantino,2025-11-09T00:00:00Z,1X2,X,,3.6,https://www.betano.bet.br/odds/sao-paulo-bragantino/75663148/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2025-11-07T02:53:22.845728+00:00,Brasileirão - Série A Betano,São Paulo x Bragantino,São Paulo,Bragantino,2025-11-09T00:00:00Z,1X2,2,,5.6,https://www.betano.bet.br/odds/sao-paulo-bragantino/75663148/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
