pais,liga,url_liga
Ligas,Brasileirao Serie A Betano,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
Ligas,Copa Libertadores,https://www.betano.bet.br/sport/futebol/competicoes/copa-libertadores/189817/
Ligas,Copa Sul Americana,https://www.betano.bet.br/sport/futebol/competicoes/copa-sul-americana/189818/
Ligas,Brasileirao Serie B,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
Ligas,Copa Do Mundo,https://www.betano.bet.br/sport/futebol/competicoes/copa-do-mundo/189813/
Ligas,Torneo Betano,https://www.betano.bet.br/sport/futebol/argentina/torneo-betano/195785/
Ligas,Brasil,https://www.betano.bet.br/sport/futebol/competicoes/brasil/10004/
Ligas,Copa Betano Do Brasil,https://www.betano.bet.br/sport/futebol/brasil/copa-betano-do-brasil/10008/
Ligas,Brasileirao Serie C,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-c/18249/
Ligas,Campeonato Potiguar Segunda Divisao,https://www.betano.bet.br/sport/futebol/brasil/campeonato-potiguar-segunda-divisao/194636/
Ligas,Copa Santa Catarina,https://www.betano.bet.br/sport/futebol/brasil/copa-santa-catarina/191111/
Ligas,Copa Maria Bonita F,https://www.betano.bet.br/sport/futebol/brasil/copa-maria-bonita-f/205340/
Ligas,Copa Do Brasil F,https://www.betano.bet.br/sport/futebol/brasil/copa-do-brasil-f/18070/
Ligas,Conmebol Clubes,https://www.betano.bet.br/sport/futebol/competicoes/conmebol-clubes/11318/
Ligas,Liga Dos Campeoes,https://www.betano.bet.br/sport/futebol/competicoes/liga-dos-campeoes/188566/
Ligas,Liga Europa,https://www.betano.bet.br/sport/futebol/competicoes/liga-europa/188567/
Ligas,Liga Conferencia,https://www.betano.bet.br/sport/futebol/competicoes/liga-conferencia/189602/
Ligas,Inglaterra,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
Ligas,Espanha,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
Ligas,Italia,https://www.betano.bet.br/sport/futebol/competicoes/italia/87/
Ligas,Alemanha,https://www.betano.bet.br/sport/futebol/competicoes/alemanha/24/
Ligas,Franca,https://www.betano.bet.br/sport/futebol/competicoes/franca/23/
Ligas,Arabia Saudita,https://www.betano.bet.br/sport/futebol/competicoes/arabia-saudita/11462/
Ligas,Argentina,https://www.betano.bet.br/sport/futebol/competicoes/argentina/11319/
Ligas,Chile,https://www.betano.bet.br/sport/futebol/competicoes/chile/11331/
Ligas,Colombia,https://www.betano.bet.br/sport/futebol/competicoes/colombia/11333/
Ligas,Mexico,https://www.betano.bet.br/sport/futebol/competicoes/mexico/11375/
Ligas,Austria,https://www.betano.bet.br/sport/futebol/competicoes/austria/11322/
Ligas,Belgica,https://www.betano.bet.br/sport/futebol/competicoes/belgica/11324/
Ligas,Bulgaria,https://www.betano.bet.br/sport/futebol/competicoes/bulgaria/11328/
Ligas,Chipre,https://www.betano.bet.br/sport/futebol/competicoes/chipre/11336/
Ligas,Croacia,https://www.betano.bet.br/sport/futebol/competicoes/croacia/11334/
Ligas,Dinamarca,https://www.betano.bet.br/sport/futebol/competicoes/dinamarca/11339/
Ligas,Escocia,https://www.betano.bet.br/sport/futebol/competicoes/escocia/91/
Ligas,Eslovaquia,https://www.betano.bet.br/sport/futebol/competicoes/eslovaquia/11392/
Ligas,Finlandia,https://www.betano.bet.br/sport/futebol/competicoes/finlandia/11355/
Ligas,Gales,https://www.betano.bet.br/sport/futebol/competicoes/gales/11433/
Ligas,Grecia,https://www.betano.bet.br/sport/futebol/competicoes/grecia/90/
Ligas,Paises Baixos,https://www.betano.bet.br/sport/futebol/competicoes/paises-baixos/11376/
Ligas,Hungria,https://www.betano.bet.br/sport/futebol/competicoes/hungria/11363/
Ligas,Irlanda,https://www.betano.bet.br/sport/futebol/competicoes/irlanda/11367/
Ligas,Irlanda Do Norte,https://www.betano.bet.br/sport/futebol/competicoes/irlanda-do-norte/11377/
Ligas,Kosovo,https://www.betano.bet.br/sport/futebol/competicoes/kosovo/188916/
Ligas,Luxemburgo,https://www.betano.bet.br/sport/futebol/competicoes/luxemburgo/188713/
Ligas,Montenegro,https://www.betano.bet.br/sport/futebol/competicoes/montenegro/11517/
Ligas,Noruega,https://www.betano.bet.br/sport/futebol/competicoes/noruega/11378/
Ligas,Polonia,https://www.betano.bet.br/sport/futebol/competicoes/polonia/11381/
Ligas,Portugal,https://www.betano.bet.br/sport/futebol/competicoes/portugal/11382/
Ligas,Republica Tcheca,https://www.betano.bet.br/sport/futebol/competicoes/republica-tcheca/11338/
Ligas,Romenia,https://www.betano.bet.br/sport/futebol/competicoes/romenia/11383/
Ligas,Servia,https://www.betano.bet.br/sport/futebol/competicoes/servia/11389/
Ligas,Suecia,https://www.betano.bet.br/sport/futebol/competicoes/suecia/11393/
Ligas,Suica,https://www.betano.bet.br/sport/futebol/competicoes/suica/11394/
Ligas,Turquia,https://www.betano.bet.br/sport/futebol/competicoes/turquia/11384/
Ligas,Ucrania,https://www.betano.bet.br/sport/futebol/competicoes/ucrania/11386/
Ligas,Bolivia,https://www.betano.bet.br/sport/futebol/competicoes/bolivia/11325/
Ligas,Canada,https://www.betano.bet.br/sport/futebol/competicoes/canada/11457/
Ligas,Costa Rica,https://www.betano.bet.br/sport/futebol/competicoes/costa-rica/11453/
Ligas,Equador,https://www.betano.bet.br/sport/futebol/competicoes/equador/11340/
Ligas,Eua,https://www.betano.bet.br/sport/futebol/competicoes/eua/11387/
Ligas,Guatemala,https://www.betano.bet.br/sport/futebol/competicoes/guatemala/11434/
Ligas,Jamaica,https://www.betano.bet.br/sport/futebol/competicoes/jamaica/11461/
Ligas,Panama,https://www.betano.bet.br/sport/futebol/competicoes/panama/11507/
Ligas,Paraguai,https://www.betano.bet.br/sport/futebol/competicoes/paraguai/11379/
Ligas,Peru,https://www.betano.bet.br/sport/futebol/competicoes/peru/11380/
Ligas,El Salvador,https://www.betano.bet.br/sport/futebol/competicoes/el-salvador/11488/
Ligas,Uruguai,https://www.betano.bet.br/sport/futebol/competicoes/uruguai/11388/
Ligas,Africa Do Sul,https://www.betano.bet.br/sport/futebol/competicoes/africa-do-sul/11481/
Ligas,Australia,https://www.betano.bet.br/sport/futebol/competicoes/australia/11321/
Ligas,Camboja,https://www.betano.bet.br/sport/futebol/competicoes/camboja/189060/
Ligas,Catar,https://www.betano.bet.br/sport/futebol/competicoes/catar/11447/
Ligas,China,https://www.betano.bet.br/sport/futebol/competicoes/china/11332/
Ligas,Coreia Do Sul,https://www.betano.bet.br/sport/futebol/competicoes/coreia-do-sul/11373/
