data_extracao,campeonato,partida,casa,fora,data_hora,mercado,selecao,linha,odd,url_evento,url_liga
2026-02-03T15:12:09.710514+00:00,Brasileirão - Série A Betano,Palmeiras x Vitória,Palmeiras,Vitória,2026-02-05T00:30:00Z,1X2,1,,1.38,https://www.betano.bet.br/odds/palmeiras-vitoria/79626635/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:12:09.710540+00:00,Brasileirão - Série A Betano,Palmeiras x Vitória,Palmeiras,Vitória,2026-02-05T00:30:00Z,1X2,X,,4.75,https://www.betano.bet.br/odds/palmeiras-vitoria/79626635/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:12:09.710550+00:00,Brasileirão - Série A Betano,Palmeiras x Vitória,Palmeiras,Vitória,2026-02-05T00:30:00Z,1X2,2,,9.0,https://www.betano.bet.br/odds/palmeiras-vitoria/79626635/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:12:19.668441+00:00,Brasileirão - Série A Betano,Santos x São Paulo,Santos,São Paulo,2026-02-04T23:00:00Z,1X2,1,,2.18,https://www.betano.bet.br/odds/santos-sao-paulo/79626568/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:12:19.668481+00:00,Brasileirão - Série A Betano,Santos x São Paulo,Santos,São Paulo,2026-02-04T23:00:00Z,1X2,X,,3.15,https://www.betano.bet.br/odds/santos-sao-paulo/79626568/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:12:19.668505+00:00,Brasileirão - Série A Betano,Santos x São Paulo,Santos,São Paulo,2026-02-04T23:00:00Z,1X2,2,,3.65,https://www.betano.bet.br/odds/santos-sao-paulo/79626568/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:12:28.837352+00:00,Brasileirão - Série A Betano,Remo x Mirassol,Remo,Mirassol,2026-02-04T23:00:00Z,1X2,1,,2.75,https://www.betano.bet.br/odds/remo-mirassol/79626555/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:12:28.837380+00:00,Brasileirão - Série A Betano,Remo x Mirassol,Remo,Mirassol,2026-02-04T23:00:00Z,1X2,X,,3.2,https://www.betano.bet.br/odds/remo-mirassol/79626555/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:12:28.837393+00:00,Brasileirão - Série A Betano,Remo x Mirassol,Remo,Mirassol,2026-02-04T23:00:00Z,1X2,2,,2.67,https://www.betano.bet.br/odds/remo-mirassol/79626555/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:12:37.718839+00:00,Brasileirão - Série A Betano,Flamengo x Internacional,Flamengo,Internacional,2026-02-04T22:00:00Z,1X2,1,,1.45,https://www.betano.bet.br/odds/flamengo-internacional/79626323/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:12:37.718879+00:00,Brasileirão - Série A Betano,Flamengo x Internacional,Flamengo,Internacional,2026-02-04T22:00:00Z,1X2,X,,4.5,https://www.betano.bet.br/odds/flamengo-internacional/79626323/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:12:37.718901+00:00,Brasileirão - Série A Betano,Flamengo x Internacional,Flamengo,Internacional,2026-02-04T22:00:00Z,1X2,2,,7.4,https://www.betano.bet.br/odds/flamengo-internacional/79626323/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:12:46.974985+00:00,Brasileirão - Série A Betano,Bahia x Fluminense,Bahia,Fluminense,2026-02-05T22:00:00Z,1X2,1,,2.18,https://www.betano.bet.br/odds/bahia-fluminense/79626639/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:12:46.975011+00:00,Brasileirão - Série A Betano,Bahia x Fluminense,Bahia,Fluminense,2026-02-05T22:00:00Z,1X2,X,,3.2,https://www.betano.bet.br/odds/bahia-fluminense/79626639/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:12:46.975024+00:00,Brasileirão - Série A Betano,Bahia x Fluminense,Bahia,Fluminense,2026-02-05T22:00:00Z,1X2,2,,3.6,https://www.betano.bet.br/odds/bahia-fluminense/79626639/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:12:56.631466+00:00,Brasileirão - Série A Betano,Vasco da Gama x Chapecoense,Vasco da Gama,Chapecoense,2026-02-05T23:00:00Z,1X2,1,,1.65,https://www.betano.bet.br/odds/vasco-da-gama-chapecoense/79626641/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:12:56.631495+00:00,Brasileirão - Série A Betano,Vasco da Gama x Chapecoense,Vasco da Gama,Chapecoense,2026-02-05T23:00:00Z,1X2,X,,3.6,https://www.betano.bet.br/odds/vasco-da-gama-chapecoense/79626641/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:12:56.631508+00:00,Brasileirão - Série A Betano,Vasco da Gama x Chapecoense,Vasco da Gama,Chapecoense,2026-02-05T23:00:00Z,1X2,2,,6.2,https://www.betano.bet.br/odds/vasco-da-gama-chapecoense/79626641/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
2026-02-03T15:13:05.922252+00:00,Brasileirão - Série A Betano,Cruzeiro x Coritiba,Cruzeiro,Coritiba,2026-02-06T00:30:00Z,1X2,1,,1.47,https://www.betano.bet.br/odds/cruzeiro-coritiba/79626644/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-a-betano/10016/
